accession,source_list,title,study_type,description,sample_count,assay_count,experimental_designs,experimental_factors,organism,developmental_stage,organism_part,disease,disease_state_or_staging,cell_type_or_line,clinical_or_familial,treatment_or_compound,quality_controls,technology,assay_by_molecule
E-GEOD-52917,als-ftd-screened,Early pre-symptomatic and progressive signatures of non-coding RNAs in ALS patients and mutation carriers,transcription profiling by array,"Knowledge about the nature and timepoint of pathomolecular alterations preceding onset of symptoms in amyotrophic lateral sclerosis (ALS) is largely lacking. It could not only pave the way for valuable therapeutic targets but might also govern future concepts of pre-manifest disease modifying treatments. MicroRNAs (miRNAs) are central regulators of transcriptome plasticity and participate in pathogenic cascades and/or mirror cellular adaptation to insults. We obtained expression profiles of miRNAs as well as other non-coding RNAs (ncRNAs) in the serum of sporadic ALS patients (sALS), familial ALS cases (fALS), asymptomatic mutation carriers and healthy controls. We observed a strikingly homogenous ncRNA profile in fALS patients that, to a large extend, was independent to the underlying disease gene and different to heterogeneous ncRNA signatures in sALS patients. Moreover, we identified 68 significantly dysregulated ncRNAs in pre-manifest ALS mutation carriers, more than 20 years before the estimated time window of disease onset. 91% of ncRNA alterations in mutation carriers overlapped with the fALS patients revealing progressive changes towards and during the disease. Our data thus demonstrate a high epigenetic heterogeneity amongst sALS patients and suggest common denominators regarding molecular pathogenesis of different ALS genes. We describe the earliest pathomolecular alterations in ALS known to date, which provide a basis for the development of predictors of disease onset as well as the discovery of novel therapeutic targets and strongly argue for studies evaluating pre-symptomatic disease-modifying treatment in ALS. Serum ncRNA pofiles of sporadic and familiar ALS patients as well as asymptomatic ALS mutation carriers were compared to age and gender matched healthy controls using a total of 53 Affymetrix miRNA 3.0 arrays. In detail, a total of 9 fALS patients (analyzed in 6 arrays) were compared to 10 controls, a total of 18 ALS mutation carriers (analyzed in 12 arrays) were compared to 8 controls and 18 sALS patients were compared to 16 controls.",53,53,,"Experimental Factors: ALS MUTATION, SAMPLES OF DIFFERENT INDIVIDUALS POOLED?, SEX, AGE",Homo sapiens,,,,,,,,,Array assay,RNA assay
E-GEOD-52390,als-ftd-screened,Integrative DNA methylation and gene expression analysis in high-grade soft tissue sarcomas [gene expression],transcription profiling by array,"We used the Infinium HumanHT-12 platform to profile gene expression in 79 primary, untreated high-grade soft tissue sarcomas, representing eight relevant subtypes, two non-neoplastic fat samples and 13 representative sarcoma cell lines. Marcus, Renner",94,94,,"Experimental Factors: SARCOMA SUBTYPE, TUMOR CELL LINE, AGE YRS, SEX",Homo sapiens,,,,,"Tumor cell line: MLS402, HS-SY-II, HT1080, STS26T, not specified, SW872, 1273, CME, FU-DDLS-1, T449, MLS1765, SYO-1, T778, Fuji; TUMOR CELL LINE: HT1080, MLS1765, MLS402, SW872, FU-DDLS-1, T778, T449, STS26T, HS-SY-II, Fuji, SYO-1, 1273, CME, not specified; tumor cell line: HT1080, MLS1765, MLS402, SW872, FU-DDLS-1, T778, T449, STS26T, HS-SY-II, Fuji, SYO-1, 1273, CME",,,,Array assay,RNA assay
E-MTAB-1927,als-ftd-screened,Differences between C9ORF72 iPS neuronal and Control and SOD1D90A iPS neuronal transcriptomes,transcription profiling by array,"The purpose of this experiment was to compare differences in the transcript levels between RNA samples from induced pluripotent stem cells differentiated into neurons carrying a mutation in the SOD1 gene, an expanded GGGGCC repeat mutation in the chromosome 9 open reading frame 72 gene and those without any (control).",13,13,"Experimental Designs: disease_state_design, in_vitro_design, co-expression_design",Experimental Factors: disease,Homo sapiens,,,C9ORF72 amyotrophic lateral sclerosis; SOD1 D90A amyotrophic lateral sclerosis; normal,,Cell type: neuron differentiated from induced pluripotent stem cell,,,Quality Controls: biological replicate,Array assay,RNA assay
E-MTAB-1926,als-ftd-screened,Transcriptome profile of C9ORF72 ALS fibroblast,transcription profiling by array,"The purpose of this experiment was to compare the differences in transcript levels between RNA samples collected from fibroblasts from healthy control patients, amyotrophic lateral sclerosis (ALS) patients carrying an expanded GGGGCC repeat mutation in the chromosome 9 open reading frame 72 gene and ALS patients with a mutation in the SOD1 gene.",10,10,"Experimental Designs: disease_state_design, in_vitro_design, co-expression_design",Experimental Factors: disease,Homo sapiens,,,SOD1 mutant amyotrophic lateral sclerosis; C9ORF72 amyotrophic lateral sclerosis; normal,,Cell type: fibroblast,,,Quality Controls: biological replicate,Array assay,RNA assay
E-MTAB-1925,als-ftd-screened,Transcription profiling by array of post-mortem brain cortex from healthy control patients and amyotrophic lateral sclerosis patients that carry an expanded GGGGCC repeat mutation in the chromosome 9 open reading frame 72 (C9ORF72) gene,transcription profiling by array,The purpose of this experiment was to compare differences in the transcript level between RNA samples collected from post-mortem motor cortex from healthy control patients and amyotrophic lateral sclerosis (ALS) patients that carry an expanded GGGGCC repeat mutation in the chromosome 9 open reading frame 72 (C9ORF72) gene.,6,6,"Experimental Designs: disease state design, In vitro design, co-expression design",Experimental Factors: disease,Homo sapiens,adult,motor cortex,normal; amyotrophic lateral sclerosis,,,"Clinical information: not applicable, C9ORF72 amyotrophic lateral sclerosis; clinical information: C9ORF72 amyotrophic lateral sclerosis, not applicable",,Quality Controls: biological replicate,Array assay,RNA assay
E-GEOD-47554,als-ftd-screened,DEG in human gastric carcinoma formed in stomach wall and metastasized to ovary in mice system,transcription profiling by array,"Spontaneous metastasis of gastric carcinoma to secondary organs is seldom reproduced in the mice. In this study, we established highly reproducible, experimental mice model in which gastric carcinoma progressively grows in the site of gastric walls and metastasize to secondary sites. A highly tumorigenic GC cells were engineered to express type 2 luciferase and injected via orthotopic route into BALB/c nude mice. The mice developed highly progressive GC tumors in the gastric wall where implanted and slow metastases to liver, spleen, lung, kidney and ovary, with rate of metastases to ovary being 63.6% of implanted mice. The tumors colonized in the ovary expressed a GI marker MUC5A, suggestive of typical human Krukenberg tumor. Immuno-histochemical stainings revealed that many mesenchymal markers were strongly positive in motile tumor cells in the vein of ovary and became gradually weak during extravasations to colonize in the ovary. When routes of metastasis were further investigated, the mesenchymal marker SMA stained low in the tumor cells of the primary site of stomach wall, became high in intravasating vein in the stomach wall, remained high in extravasating veins in the liver and ovary and finally returned low in the colonized tumor in the liver and ovary. However, expression of an epithelial marker Claudin did not show in the opposite profile to SMA, indicating that acquisition of mesenchymal phenotypes rather than loss of epithelial characteristics may more give rise to metastatic potential. Dissociated cells derived from tumors in the implanted mouse stomach or metastasized to ovaries retain their tumorigenicity and metastatic potentials. The mRNA microarray and Western blot analyses showed that metastatic tumor-derived cells showed significantly higher expression of GAGE12 gene family than orthotopic tumors-derived cells. The shRNA-mediated knock-down of the GAGE12 family in the metastatic tumors-derived cells abolished the tumor formation in gastric wall and metastasis as well. In conclusion, we established an in vivo orthotopic gastric cancer mouse model spontaneously metastasizing to secondary organs including ovary, which exhibits typical characteristics of a Krukenberg tumor. Expression of mesenchymal markers should be functionally associated with the gain of metastatic ability in this study. A hightly tumorigenic gastric carcinoma SNU-16 cells were orthotpically injected into stomach wall. Tumors formed in the stomach wall (16S) and mestasized to ovary (16O) were dissociated and cultured for 7 day. These cells were re-injected orthotopically and tumors formed in the stomach from 16S (16SS) and ovary from 16O injection (16OO) were dissociated. Total RNAs were isolated from 16S, 16SS, 16O and 16OO2 and subjected to mRNA microarrays",4,4,,Experimental Factors: ORGANISM PART,Homo sapiens,,Xenografted tumor metastasized to ovaries from 2nd round implantation; Xenografted tumor formed in the stomach from 2nd round of implantation; Xenografted tumor metastasized to ovaries from 1st round implantation; ... 1 other values,,,,,,,Array assay,RNA assay
E-GEOD-41414,als-ftd-screened,Gene expression analysis of ALS skeletal muscle,transcription profiling by array,Objective: to focus on the molecular mechanisms involved in the ALS related atrophy process that leads to selective wasting muscles . Design: gene expression profiling and real time PCR were performed on muscle biopsies,14,14,,"Experimental Factors: SEX, DISEASE STATUS, ORGANISM PART",Homo sapiens,,deltoid; quadriceps,,,,,,,Array assay,RNA assay
E-MTAB-850,als-ftd-screened,Transcriptional profiling by array of human head and neck squamous cell carcinoma to study the correlation between galectin-1 upregulation and the presence of SMA positive cancer-associated fibroblasts,transcription profiling by array,"In this study, we set the presence of smooth muscle actin (SMA)-positive cancer-associated fibroblasts (CAFs) in relation to galectin-1 and its in vivo competitor (galectin-3). In squamous cell carcinomas of head and neck, upregulation of galectin-1 presence is highly significantly correlated to presence of smooth muscle actin-positive cancer-associated fibroblasts in the tumor. In order to pinpoint correlations on the molecular level, we applied microarray analyses to the transcription profiles of the corresponding tumors. Significant correlations of several transcripts were detected with the protein level of galectin-1 in the cancer-associated fibroblasts.",32,,"Experimental Designs: in_vivo_design, co-expression_design","Experimental Factors: Galectin_1_abundance_in_CAF, SMA_Positive_CAF, DiseaseState",Homo sapiens,,oropharynx; larynx; tonsil; oral cavity,tumour; normal; I; NA; II; IV; III,"Diseasestate: tumour, normal; DiseaseState: normal, tumour; Diseasestaging: I, NA, II, IV, III; DiseaseStaging: NA, II, IV, III, I",,,,"Quality Controls: biological_replicate, technical_replicate",Array assay,RNA assay
E-GEOD-39643,als-ftd-screened,"NanoString miRNA profiling of peripheral blood sorted CD14+CD16- monocytes from amyotrophic lateral sclerosis, multiple sclerosis and healthy control subjects",transcription profiling by array,"We investigated the innate immune system in the SOD1 ALS model. We found that splenic Ly6CHi monocytes were activated and their progressive recruitment to the spinal cord, but not brain, correlated with neuronal loss. We found a decrease in resident microglia in the spinal cord with disease progression. Two months prior to disease onset, splenic Ly6CHi monocytes had an M1 signature which included increased CCR2. At one month prior to disease onset, microglia expressed increased CCL2 and other chemotaxis-associated molecules. Microglia derived from the spinal cord of SOD1 mice recruited Ly6C+ monocytes to the CNS. Treatment with anti-Ly6C mAb modulated the Ly6CHi monocyte cytokine profile, reduced monocyte recruitment to the spinal cord, diminished neuronal loss and extended survival. In humans with ALS, CD14+/CD16- monocytes (analogue of Ly6CHi monocytes) exhibited an ALS specific microRNA inflammatory signature similar to that observed in the SOD1 mouse providing a direct link between the animal model and the human disease. Thus, the SOD1-like profile of monocytes in ALS subjects may serve as a biomarker for disease stage or progression. Our results suggest that recruitment of inflammatory monocytes plays an important role in disease progression and that modulation of these cells is a potential therapeutic approach. This study used the NanoString nCounter hybridization system and nCounter miRNA expression assays to identify and quantitate miRNAs in blood CD14+CD16- monocytes from ALS, MS and HC subjects Total RNA was isolated from FACS sorted CD14+CD16- blood-derived monocytes from sporadic ALS (n=8), MS (n=8) and HC (n=8) subjects. RNA was profiled using the NanoString nCounter miRNA expression assay",24,,,"Experimental Factors: FVC, ONSET SITE, SEX, AGE, DISEASE STATE, ALSFRS",Homo sapiens,,,multiple sclerosis; Sporadic amyotrophic lateral sclerosis (SALS); healthy control,"Disease state: multiple sclerosis, Sporadic amyotrophic lateral sclerosis (SALS), healthy control; DISEASE STATE: multiple sclerosis, Sporadic amyotrophic lateral sclerosis (SALS), healthy control; disease state: multiple sclerosis, Sporadic amyotrophic lateral sclerosis (SALS), healthy control",Cell type: CD14+CD16- monocytes,,,,Array assay,RNA assay
E-GEOD-27564,als-ftd-screened,"Gene expression profiles of subepithelial myofibroblasts from mouse ileum or colon, implanted together with human cancer cells in mouse xenografts",transcription profiling by array,"We isolated myofibroblasts from C57BL6/J mouse ileum or colon and analyzed gene expression profiles from the cultured cells. We also isolated human colon cancer cells from xenografts interacting with mouse intestinal subepithelial myofibroblasts (ISEMFs) and analyzed gene expression in sorted human cancer cells. We used Affymetrix microarrays to detail the global gene expression prolfiles in mouse fibroblasts and human colon cancer cells and identified distinct biological processes of differentially expressed genes in mouse fibroblasts and interacting human colon cancer cells For mouse SEMFs, we isolated fresh fibroblasts from mouse ileum and colon, confirmed their predicted immunophenotype (alpha SMA positive, vimentin positive, desmin negative), and expanded cells in culture before expression array analysis. We examined gene expression in human cancer cells following their interaction with murine ileal or colonic SEMFs, using flow cytometry to isolate DsRed-expressing Caco2 or T84 cells after 5 weeks of growth in NOD/SCID mice in the presence of GFP-expressing ileal or colonic SEMFs.",12,,,"Experimental Factors: CELL LINE, ORGANISM, CELL TYPE",Homo sapiens; Mus musculus,,,,,"Cell line: not specified, T84, Caco2; Cell type: subepithelial myofibroblasts, cancer cells; CELL LINE: T84, Caco2, not specified; CELL TYPE: cancer cells, subepithelial myofibroblasts; cell line: T84, Caco2; cell type: cancer cells, subepithelial myofibroblasts",,,,Array assay,RNA assay
E-MEXP-3260,als-ftd-screened,Muscle Gene Expression Is a Marker of Amyotrophic Lateral Sclerosis Severity,transcription profiling by array,"This study was designed to identify gene expression changes in skeletal muscle that could define reliably the degree of the severity of Amyotrophic lateral sclerosis (ALS). All samples were from human biopsies, either from healthy muscles or from muscle whose patients were clearly diagnosed as having Amyotrophic Lateral Sclerosis (ALS)",38,,"Experimental Designs: disease_state_design, co-expression_design, replicate_design, clinical_history_design","Experimental Factors: DISEASE_STATE, CLINICAL_INFORMATION",Homo sapiens,,muscle,normal; amyotrophic lateral sclerosis,"Disease_state: normal, amyotrophic lateral sclerosis; DISEASE_STATE: normal, amyotrophic lateral sclerosis; Diseasestate: normal, amyotrophic lateral sclerosis; DiseaseState: normal, amyotrophic lateral sclerosis",,"Clinical_information: Right arm abduction score 2, Right arm abduction score 5, Right arm abduction score 4, Right arm abduction score 1; CLINICAL_INFORMATION: Right arm abduction score 5, Right arm abduction score 4, Right arm abduction score 2, Right arm abduction score 1; Clinicalinformation: Right arm abduction score 2, Right arm abduction score 5, Right arm abduction score 4, Right arm abduction score 1; ClinicalInformation: Right arm abduction score 5, Right arm abduction score 4, Right arm abduction score 2, Right arm abduction score 1",,Quality Controls: biological_replicate,Array assay,RNA assay
E-MTAB-656,als-ftd-screened,Alternative splicing in human temporal cortex,transcription profiling by array,"We analysed changes in transcript levels and alternative splicing in the temporal cortex of individuals of different ages that were cognitively normal, affected by frontotemporal lobar degeneration (FTLD), or affected by Alzheimer's disease (AD). Our experiment's purpose is to provide new insights into the gene expression changes that distinguish healthy aging from neurodegeneration and identify the candidate regulators of alternative splicing that are associated with both processes.",25,,"Experimental Designs: disease_state_design, clinical_history_design, co-expression_design, transcript_identification_design","Experimental Factors: DISEASESTATE, AGE",Homo sapiens,,middle temporal gyrus,Alzheimer's disease; normal; Frontotemporal lobar degeneration,"Diseasestate: Alzheimer's disease, normal, Frontotemporal lobar degeneration; DISEASESTATE: normal, Frontotemporal lobar degeneration, Alzheimer's disease; DiseaseState: normal, Frontotemporal lobar degeneration, Alzheimer's disease",,"Clinicalhistory: sporadic FTLD-TDP, Familial FTLD-TDP with PGRN mutations, cognitively normal, Alzheimer's disease, Familial FTLD with MAPT mutations; ClinicalHistory: cognitively normal, Familial FTLD with MAPT mutations, sporadic FTLD-TDP, Familial FTLD-TDP with PGRN mutations, Alzheimer's disease",,,Array assay,RNA assay
