custom_id,error,model,Q1,Q2,Q2a,Q3,Q4,Q5,in_actual
PXD000214,,o4-mini-2025-04-16,No | justification: The study uses CHO (Chinese hamster ovary) cell lines to identify autocrine growth factors and does not involve human ovarian cancer samples or disease context.,No | evidence: Description of CHO cell conditioned media only | justification: No human subjects or healthy control samples are included; only CHO cell culture media are analyzed.,Not applicable | evidence: No healthy controls present | justification: Sample composition relates solely to cell-line conditioned media; no control group to quantify.,Yes | justification: The dataset employs label-free shotgun proteomics via LC-MS/MS on an LTQ Orbitrap Velos instrument.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset uses proteomics methods, it does not involve ovarian cancer or include healthy control samples.",No,False
PXD005436,,o4-mini-2025-04-16,"No | justification: The study investigates poor ovarian response in IVF, not ovarian cancer.",No | evidence: Only poor ovarian responders are described; no healthy control group mentioned. | justification: No healthy or normal control subjects are included.,Not applicable | evidence: No healthy controls described | justification: Sample composition for controls is not provided.,Yes | justification: Quantitative proteomic analyses using orbitrap and QQQ mass spectrometers are performed.,meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset uses proteomics but is not about ovarian cancer and lacks healthy controls.,No,False
PXD010166,,o4-mini-2025-04-16,Yes | justification: The dataset investigates septin-2 expression and function specifically in epithelial ovarian cancer (EOC) tissues and cell lines.,No | evidence: Only benign disease tissues and ovarian cancer cell lines are compared; no healthy volunteer samples are mentioned. | justification: Benign disease tissues do not qualify as healthy controls and no normal samples are included.,"Not applicable | evidence: No healthy control group or sample composition is provided. | justification: Without any healthy samples, the 20% composition criterion cannot be assessed.",Yes | justification: The study includes comparative label-free proteomic analysis of septin-2 knockout versus control cells.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although it is a proteomic study of ovarian cancer, it lacks healthy controls, failing one of the core criteria.",No,False
PXD045417,,o4-mini-2025-04-16,Yes | justification: Title and description specify profiling of high-grade serous ovarian cancer (HGSOC) tumors.,No | evidence: Description details only patient tumor samples; no healthy control samples mentioned. | justification: No indication of healthy control cohort.,"Not applicable | evidence: No healthy controls are included, so composition cannot be assessed. | justification: Dataset lacks any healthy control samples.",Yes | justification: Proteogenomic analysis includes deep proteomic profiling of tumor and stromal cell populations.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Study focuses on ovarian cancer proteomics but does not include healthy controls, failing criterion 2.",No,False
PXD001084,,o4-mini-2025-04-16,Yes | justification: Title and description focus on benign and malignant serous ovarian tumors (serous adenocarcinoma and cystadenoma).,No | evidence: Control group consists of six patients with serous cystadenoma (benign ovarian tumor). | justification: Benign tumor patients are not healthy controls without disease.,Not applicable | evidence: No healthy (non-diseased) controls are included. | justification: Only patients with benign ovarian cystadenoma serve as controls.,Yes | justification: Study uses label-free liquid chromatography tandem mass spectrometry (LC-MSe) to profile proteins.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset is ovarian cancer proteomics, but control group are benign tumor patients, not healthy individuals, so fails healthy control criterion.",No,False
PXD015782,,o4-mini-2025-04-16,Yes | justification: Focuses on high-grade serous ovarian carcinoma (HGSOC) patient tumors and models.,"No | evidence: Description mentions only HGSOC patient tumors, PDX models, and cell lines. | justification: No healthy or non-diseased control samples are described.",Not applicable | evidence: No healthy controls present | justification: Cannot assess proportion of healthy controls when none are included.,Yes | justification: Uses multiplexed inhibitor beads and mass spectrometry (MIB-MS) to profile the kinome.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset is ovarian cancer–focused and proteomic but lacks healthy control samples, failing criterion #2.",No,False
PXD061015,,o4-mini-2025-04-16,Yes | justification: The study focuses on high-grade serous ovarian carcinoma and ovarian cancer stem cells derived from patient tumors.,No | evidence: Description of samples includes only patient-derived ovarian cancer stem cell spheres; no healthy control samples are mentioned. | justification: No healthy or normal control samples are described.,Not applicable | justification: There are no healthy controls in the dataset.,Yes | justification: The study uses quantitative mass spectrometry to analyze the proteome and phosphoproteome of ovarian cancer stem cells.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is clearly about ovarian cancer and employs proteomic methods, it lacks any healthy control samples, failing the healthy controls criterion.",No,False
PXD025864,,o4-mini-2025-04-16,Yes | justification: Title and description explicitly focus on human ovarian cancer patients.,"Yes | evidence: ""compared with healthy individuals"" | justification: The study contrasts cancer samples with healthy controls.",Not applicable | evidence: None provided | justification: No explicit breakdown of sample counts or percentages is given.,Yes | justification: The title specifies LC-MS/MS proteomics analysis.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: The dataset addresses ovarian cancer, includes healthy controls, and uses proteomic methods; no exclusion criteria are triggered.",Yes,True
PXD039281,,o4-mini-2025-04-16,Yes | justification: The study includes ovarian cancer as one of the targeted human cancers for investigating PAF1-RAD52 interactions.,No | evidence: Description does not mention healthy control samples. | justification: No indication of healthy control subjects in the dataset description.,Not applicable | evidence: No healthy controls described. | justification: Sample composition information is absent due to lack of healthy control data.,Unclear | justification: The description refers to protein interactions but does not specify a proteomic profiling method or mass spectrometry dataset.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Unclear | justification: While the dataset involves ovarian cancer, it lacks healthy control samples and does not clearly describe a proteomics approach, thus failing key inclusion criteria.",No,False
PXD040742,,o4-mini-2025-04-16,Yes | justification: Title and description focus on high grade serous ovarian cancers (HGSOCs).,No | evidence: Description only mentions tumor biopsies from refractory and sensitive HGSOC patients. | justification: No healthy or non‐cancer control samples are described.,Not applicable | evidence: No controls present | justification: Healthy control group not provided.,Yes | justification: Study is a proteogenomic analysis identifying protein signatures and pathway expression.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset is ovarian cancer and proteomic, but lacks healthy controls.",No,False
PXD033169,,o4-mini-2025-04-16,"Yes | justification: The study specifically focuses on high-grade serous ovarian cancer (HGSOC), a subtype of ovarian cancer.",Yes | evidence: 24 healthy controls included | justification: The description reports serum samples from 26 HGSOC cases and 24 healthy controls.,"Yes | evidence: 24/50 total samples = 48% healthy controls | justification: Healthy controls make up 48% of all samples, exceeding the 20% requirement.",Yes | justification: Proteomic profiling was performed using liquid chromatography data-independent acquisition tandem mass spectrometry.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Dataset is about ovarian cancer, includes sufficient healthy controls (48%), and uses MS-based proteomics.",Yes,True
PXD064540,,o4-mini-2025-04-16,"No | justification: The study investigates premature ovarian insufficiency in a mouse model, not ovarian cancer.","Unclear | evidence: Description does not explicitly mention non‐diseased (healthy) control samples. | justification: While a disease model is described, healthy/control group details are not provided.","Not applicable | justification: No explicit sample composition is given, so proportion of controls cannot be assessed.","Yes | justification: Mass spectrometry was employed to probe molecular responses, indicating proteomic analysis.",meets ovarian cancer criterion: No | meets healthy controls criterion: Unclear | meets proteomics criterion: Yes | justification: The dataset includes proteomics but is not about ovarian cancer and lacks clear healthy control information.,No,False
PXD015781,,o4-mini-2025-04-16,Yes | justification: The dataset focuses on high-grade serous ovarian carcinoma (HGSOC) signaling and therapeutic targets.,No | evidence: Description only mentions HGSOC patient tumors and PDX models; no healthy control samples are described. | justification: There is no indication of any healthy or non-cancer control samples in the dataset description.,"Not applicable | evidence: Not applicable | justification: No healthy controls present, so composition criterion cannot be assessed.",Yes | justification: Uses multiplexed inhibitor beads and mass spectrometry (MIB-MS) for kinome profiling.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is on ovarian cancer and employs proteomic mass-spectrometry, it lacks healthy control samples, failing the healthy control inclusion criterion.",No,False
PXD031485,,o4-mini-2025-04-16,"No | justification: Study focuses on proteome of follicular fluid from women with PCOS and normal women, not on ovarian cancer.",Yes | evidence: Comparison between women with PCO and normal women | justification: Includes samples from normal (healthy) women as control group,Unclear | evidence: No explicit numbers or proportions of healthy controls provided | justification: Sample composition percentages not stated,Yes | justification: Study performs proteomic analysis of follicular fluid,meets ovarian cancer criterion: No | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Dataset fails the ovarian cancer criterion despite meeting healthy control and proteomics criteria.,No,False
PXD041002,,o4-mini-2025-04-16,Yes | justification: The title and description explicitly refer to ovarian cancer cells and compare treated vs. non-treated ovarian cancer cell lines.,"No | evidence: Description only mentions treated and non-treated cancer cells, no mention of healthy (non-cancer) samples. | justification: Controls are non-treated cancer cells rather than healthy controls.","Not applicable | evidence: N/A | justification: No healthy controls present, so composition criterion does not apply.",Yes | justification: Data were acquired using a Real Time Search MS3 TMT proteomics workflow on an Orbitrap Eclipse.,meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset is proteomic and focused on ovarian cancer but lacks healthy control samples.,No,False
PXD019863,,o4-mini-2025-04-16,"No | justification: The dataset focuses on Salmonella infection in epithelial cells, not ovarian cancer.","No | evidence: Description only mentions infected epithelial cells over time, no healthy control samples defined. | justification: No indication of uninfected or healthy control samples in the study.","Not applicable | evidence: No sample composition provided. | justification: Healthy controls are not described, so this criterion does not apply.",Yes | justification: The study uses data-dependent and independent acquisition LC-MS/MS proteomics workflows.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although it is a proteomics study, it is not about ovarian cancer and lacks healthy controls.",No,False
PXD015903,,o4-mini-2025-04-16,Yes | justification: Title and description specify a proteome study of ovarian cancer tumor samples (TCGA Ovarian Serous Cystadenocarcinoma cohort).,No | evidence: Description lists only 174 TCGA ovarian cancer tumor samples; no healthy control samples mentioned. | justification: All samples are described as tumor specimens with no reference to non‐cancerous or healthy controls.,"Not applicable | evidence: No explicit sample composition including healthy controls is provided. | justification: Since there are no healthy controls, percentage composition cannot be assessed.","Yes | justification: Study uses iTRAQ quantification, glycoproteome and phosphoproteome analyses, indicating proteomic methods.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is clearly ovarian cancer and uses proteomics, it lacks healthy control samples, failing the control criterion.",No,False
PXD009655,,o4-mini-2025-04-16,Yes | justification: Title and description focus on high-grade ovarian cancer (HGOC) early detection via uterine liquid biopsies.,"Yes | evidence: Description states liquid biopsies from HGOC patients (n=49), controls (n=127) and healthy BRCA mutation carriers (n=25). | justification: The dataset includes 127 non‐cancer controls and 25 healthy carriers.",Yes | evidence: 127 controls out of a total of 201 samples (49 HGOC + 127 controls + 25 carriers) represent ~63% healthy controls. | justification: Explicit sample composition provided and ≥20% are healthy controls.,"Yes | justification: Data-dependent proteomic profiling on a Q-Exactive mass spectrometer with depth of ~3,000 proteins per sample.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Dataset targets ovarian cancer, includes >20% healthy controls, and uses mass‐spectrometry proteomics.",Yes,True
PXD020560,,o4-mini-2025-04-16,Yes | justification: Focuses on A2780 ovarian cancer cell line and mode of action in ovarian cancer cells.,No | evidence: No mention of healthy control samples or normal/healthy cell lines. | justification: Only ovarian cancer cells are profiled; no healthy controls described.,"Not applicable | evidence: No explicit sample composition provided. | justification: Healthy controls are absent, so composition criterion not applicable.",Yes | justification: Employs mass spectrometry-based shotgun proteomics to assess global protein expression changes.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset meets ovarian cancer and proteomics criteria but lacks healthy controls, failing the healthy control requirement.",No,False
PXD027794,,o4-mini-2025-04-16,"Yes | justification: Study uses SKOV3 ovarian cancer cells to assess changes in their proteome, indicating focus on ovarian cancer.","No | evidence: Description only mentions secretomes from control or dying cancer cells; no healthy donor or non-cancer samples. | justification: Controls are cancer cell lines, not healthy subjects or tissues.",Not applicable | evidence: No healthy control samples reported. | justification: Healthy control composition is not provided.,Yes | justification: Proteomic profiling of recipient tumor cells after treatment with secretomes is described.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While it meets ovarian cancer and proteomics criteria, it fails to include healthy control samples.",No,False
PXD029424,,o4-mini-2025-04-16,Yes | justification: Title and description focus on BRCA1/2-deficient ovarian carcinoma (OC) and OC cell lines and tumor samples,No | evidence: Study uses OC cell lines and patient-derived tumor samples only; no normal/healthy samples mentioned | justification: No indication of healthy control group in title or description,Not applicable | evidence: No healthy controls reported | justification: Cannot assess composition without any healthy samples,"Yes | justification: Employs chemical proteomics, phosphoproteomics, and ADP-ribosylation proteomics",meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset covers ovarian carcinoma and uses proteomics but lacks healthy controls,No,False
PXD031518,,o4-mini-2025-04-16,Yes | justification: The title and description focus on high-grade serous ovarian cancer (HGSOC) classification.,No | evidence: Description does not mention any healthy control samples. | justification: Only patient tumors are discussed; no healthy controls are included.,Not applicable | evidence: No healthy controls present. | justification: Healthy control composition cannot be assessed when none are included.,No | justification: Study uses video imaging and morphologic classification; no proteomic methodologies are described.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: No | justification: While the dataset is about ovarian cancer, it lacks healthy controls and does not include proteomic data.",No,False
PXD031929,,o4-mini-2025-04-16,Yes | justification: Title and description explicitly focus on high‐grade serous ovarian cancer (HGSOC) patient tumors and treatment response.,No | evidence: Description only mentions matched pre‐ and post‐NACT HGSOC tumor samples. | justification: No healthy or non‐diseased control samples are described.,"Not applicable | evidence: No healthy controls described. | justification: Sample composition lacks healthy control group, so 20% threshold cannot be evaluated.",Yes | justification: Study assesses proteomic alterations and distinct proteome profiles in tumor tissues.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset addresses ovarian cancer and uses proteomics but does not include healthy controls, failing that criterion.",No,False
PXD019914,,o4-mini-2025-04-16,Yes | justification: Title and description describe high-grade serous ovarian carcinoma (HGSC) tissues.,No | evidence: Description reports only 119 HGSC tumor tissues; no healthy samples mentioned. | justification: No healthy control samples are described.,"No | evidence: Sample composition: 119 HGSC tumor tissues; healthy controls = 0%. | justification: Explicit composition shows 0% healthy controls, below the 20% threshold.",Yes | justification: Mass-spectrometry-based glycoproteomic characterization is performed.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset focuses on ovarian cancer and uses proteomics but lacks healthy controls, failing criterion #2.",No,False
PXD022996,,o4-mini-2025-04-16,No | justification: Description makes no mention of ovarian cancer or related samples; it focuses on imputation methods for proteomic data in general.,"No | evidence: No mention of healthy control samples in the dataset description. | justification: The dataset is methodological, assessing imputation methods, without specifying any case/control grouping.","Not applicable | evidence: No sample composition details provided. | justification: Healthy controls are not mentioned, so composition criterion does not apply.",Yes | justification: Dataset uses label-free LC-MS/MS (DIA-MS) proteomic workflows to evaluate imputation methods.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is proteomic, it does not involve ovarian cancer or include healthy controls, so it fails key inclusion criteria.",No,False
PXD000100,,o4-mini-2025-04-16,"Yes | justification: Study profiles cancer-associated proteins in plasma from ovarian cancer patients and benign ovarian tumor patients, indicating ovarian cancer focus.",No | evidence: Description mentions ovarian cancer patients and benign ovarian tumor patients only; no healthy individuals included. | justification: No healthy control samples are described.,Not applicable | evidence: No healthy control group is present. | justification: Sample composition does not include any healthy controls.,Yes | justification: Targeted protein analysis of plasma digest using mProphet indicates proteomic methodology.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset focuses on ovarian cancer and uses proteomic methods, it lacks healthy control samples and thus fails criterion 2.",No,False
PXD013811,,o4-mini-2025-04-16,Yes | justification: Title and description explicitly focus on ovarian cancer and tumor growth in EOC.,No | evidence: Description makes no mention of healthy control samples. | justification: There is no indication of any healthy control group in the title or description.,Not applicable | evidence: No healthy controls present. | justification: Cannot assess healthy control proportion when none are described.,Yes | justification: Title references MS/MS and description states proteomic analysis was performed.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While it addresses ovarian cancer and uses proteomics, it lacks healthy controls, failing the healthy control criterion.",No,False
PXD016996,,o4-mini-2025-04-16,"No | justification: The study focuses on NK cell proteome response to the tumor microenvironment in general, with no mention of ovarian cancer.","No | evidence: Description: NK cells exposed to TME or control media | justification: Control media is an experimental condition, not healthy human control samples.",Not applicable | evidence: No healthy control samples reported | justification: Healthy control composition is not provided because no healthy controls are included.,Yes | justification: The study assesses global differences in protein levels via proteomics.,meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset uses proteomics but is not specific to ovarian cancer nor includes healthy human controls.,No,False
PXD019327,,o4-mini-2025-04-16,Yes | justification: The study specifically profiles ascites from ovarian cancer patients before and after chemotherapy.,No | evidence: Only ascites from ovarian cancer patients before and after treatment (n=10) are analyzed. | justification: No samples from healthy individuals or normal controls are described.,Not applicable | evidence: No healthy control samples are present. | justification: Healthy control composition cannot be assessed without any control samples.,Yes | justification: The dataset is based on LC-MS/MS proteomic analysis of ascites samples.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset focuses on ovarian cancer and uses proteomic methods, it lacks healthy control samples.",No,False
PXD015904,,o4-mini-2025-04-16,Yes | justification: Title and description explicitly refer to TCGA Ovarian Cancer tumor samples and the CPTAC ovarian cancer proteome study.,"No | evidence: Description only mentions tumor samples and xenograft reference samples, no normal or healthy control samples. | justification: No healthy control group is described in the dataset.",Not applicable | evidence: No explicit sample composition or mention of healthy controls provided. | justification: Cannot assess proportion of healthy controls when none are described.,Yes | justification: Dataset comprises iTRAQ proteome and phosphoproteome experiments analyzing proteomic data.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although it concerns ovarian cancer proteomics, it lacks any healthy control samples, failing the healthy control criterion.",No,False
PXD044196,,o4-mini-2025-04-16,Yes | justification: The study focuses on CRNDEP’s role in ovarian carcinogenesis and investigates its effects in OvCa cells.,No | evidence: Description only mentions ovarian cancer cells and one OvCa sample; no healthy control samples are described. | justification: No healthy controls are reported in the dataset or study design.,"Not applicable | evidence: No explicit sample composition provided. | justification: Healthy controls are absent, so composition criterion cannot be applied.",Yes | justification: The study uses mass spectrometry (MS) for peptide detection and immunoprecipitation followed by MS validation of CRNDEP.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset is ovarian cancer–focused and uses proteomic methods, it lacks any healthy control samples.",No,False
PXD003752,,o4-mini-2025-04-16,Yes | justification: Study focuses on kallikrein-related peptidase 7 in high grade serous ovarian cancer (HGSOC).,No | evidence: Description only mentions analysis of SKOV-3 (ovarian cancer) cell-secreted proteins. | justification: No healthy or non-cancer control samples are reported.,Not applicable | evidence: No healthy controls described. | justification: Cannot assess control composition when none are provided.,"Yes | justification: Uses quantitative PROtein Topography and Migration Analysis Platform (qPROTOMAP) and TAILS, both proteomic methods.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset is ovarian cancer–related and proteomic, but lacks healthy control samples.",No,False
PXD017041,,o4-mini-2025-04-16,Yes | justification: Study focuses on small cell carcinoma of the ovary hypercalcemic type (SCCOHT) cell lines,No | evidence: Only ovarian cancer cell lines and a HAP1 parental cell line are included | justification: No samples from healthy individuals or tissues,Not applicable | evidence: No healthy control samples provided | justification: Healthy control criterion not met,Yes | justification: Uses immunoprecipitation coupled with mass spectrometry,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although it is an ovarian cancer proteomics study, it lacks healthy control samples",No,False
PXD033108,,o4-mini-2025-04-16,Yes | justification: Title and description focus on discovery and validation of serum biomarkers for high grade serous ovarian cancer (HGSOC).,"Yes | evidence: ""Serum from age-matched women with HGSOC, benign tumours or healthy controls were analysed..."" | justification: Healthy controls are explicitly mentioned as one of the sample groups.",Not applicable | evidence: No breakdown of sample counts by group provided | justification: Absolute numbers of healthy controls versus other groups are not specified.,Yes | justification: The study uses lectin-magnetic bead array-coupled shotgun and targeted proteomics platforms.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Dataset focuses on ovarian cancer, includes healthy controls, and employs proteomic methods.",Yes,True
PXD034466,,o4-mini-2025-04-16,Yes | justification: Study focuses on TRIP treatment in ovarian cancer cells and target identification in these cells.,No | evidence: Description only mentions ovarian cancer cells; no healthy control samples are described. | justification: No mention of healthy or non-diseased control samples.,Not applicable | evidence: No healthy control samples described. | justification: Cannot assess proportion without any controls.,Yes | justification: Chemoproteomics was performed to identify dose-dependent protein targets in living cells.,meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset is proteomics-based and focuses on ovarian cancer cells but lacks healthy control samples.,No,False
