# TITLE: Exon expression for NCI small cell lung cancer cell line panel
# SUMMARY: Characterization of 63 small cell lung cancer (SCLC) cell lines and a comparator set of non-small cell lung cancer and normal counterpart cells, including drug sensitivity testing, gene expression profiling and microRNA expression profiling have been completed. Data and tools for searching these data will be made publicly available through the NCI Developmental Therapeutics Program at http://SCLC.cancer.gov. SCLC is an aggressive, recalcitrant cancer and have seen limited treatment advances in the last 30 years. Drug sensitivity data coupled with the transcription and microRNA profiles of a cohort of SCLC cell lines may help define novel treatment paradigms.
GPL11028_Group,GPL11028_Accession,GPL11028_Title,GPL11028_Source name,GPL11028_Cell type
-,GSM1887941,HuEx_61_NCI-H1341,human cell line,SCLC
-,GSM1887942,HuEx_62_NCI-H1650,human cell line,NSCLC
-,GSM1887943,HuEx_63_NCI-H1672,human cell line,SCLC
-,GSM1887944,HuEx_64_NCI-H1694,human cell line,SCLC
-,GSM1887945,HuEx_65_NCI-H1882,human cell line,SCLC
-,GSM1887946,HuEx_66_NCI-H2066,human cell line,NSCLC
-,GSM1887947,HuEx_67_NCI-H2141,human cell line,SCLC
-,GSM1887948,HuEx_68_NCI-H69/CPR,human cell line,Made resistant
-,GSM1887949,HuEx_69_NCI-H69/LX10,human cell line,Made resistant
-,GSM1887950,HuEx_7_NCI-H69,human cell line,SCLC
-,GSM1887951,HuEx_70_NCI-H69VCR/R,human cell line,Made resistant
-,GSM1887952,HuEx_71_COLO 668,human cell line,SCLC
-,GSM1887953,HuEx_72_COR-L32,human cell line,SCLC
-,GSM1887954,HuEx_73_COR-L47,human cell line,SCLC
-,GSM1887955,HuEx_74_DMS 53,human cell line,SCLC
-,GSM1887956,HuEx_75_DMS 79,human cell line,SCLC
-,GSM1887957,HuEx_76_NCI-H2029,human cell line,SCLC
-,GSM1887958,HuEx_77_NCI-H2198,human cell line,SCLC
-,GSM1887959,HuEx_78_SW 1271,human cell line,SCLC
-,GSM1887960,HuEx_8_NCI-H82,human cell line,SCLC
-,GSM1887961,HuEx_9_NCI-H128,human cell line,SCLC
