# TITLE: Expression data from non-small cell lung carcinoma (NSCLC)
# SUMMARY: The analytical validation of a 15 gene prognostic signature for early-stage, completely resected, non-small-cell lung carcinoma that distinguishes between patients with good and poor prognoses.
GPL570_Group,GPL570_Accession,GPL570_Title,GPL570_Source name,GPL570_Study,GPL570_Tissue,GPL570_Agent,GPL570_Risk,GPL570_Specimen,GPL570_Lab,GPL570_Specimen treatment,GPL570_Patient
-,GSM1540009,SENSITIVITY STUDY::Concentration-12.5 ng/ul;'Rep.E (M34F002E),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-12.5 ng/ul,,,,,
-,GSM1540010,SENSITIVITY STUDY::Concentration-14.5 ng/ul;'Rep.A (M34F003A),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-14.5 ng/ul,,,,,
-,GSM1540011,SENSITIVITY STUDY::Concentration-14.5 ng/ul;'Rep.B (M34F003B),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-14.5 ng/ul,,,,,
-,GSM1540012,SENSITIVITY STUDY::Concentration-14.5 ng/ul;'Rep.C (M34F003C),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-14.5 ng/ul,,,,,
-,GSM1540013,SENSITIVITY STUDY::Concentration-14.5 ng/ul;'Rep.D (M34F003D),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-14.5 ng/ul,,,,,
-,GSM1540014,SENSITIVITY STUDY::Concentration-14.5 ng/ul;'Rep.E (M34F003E),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-14.5 ng/ul,,,,,
-,GSM1540015,ACCURACY STUDY::Specimen-S0867F0001.1.Lab 1 (S0867F0001.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0001.1,1,,
-,GSM1540016,ACCURACY STUDY::Specimen-S0867F0001.1.Lab 2 (S0867F0001.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0001.1,2,,
-,GSM1540017,ACCURACY STUDY::Specimen-S0867F0001.2.Lab 1 (S0867F0001.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0001.2,1,,
-,GSM1540018,ACCURACY STUDY::Specimen-S0867F0001.2.Lab 2 (S0867F0001.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0001.2,2,,
-,GSM1540019,ACCURACY STUDY::Specimen-S0867F0002.1.Lab 1 (S0867F0002.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0002.1,1,,
-,GSM1540020,ACCURACY STUDY::Specimen-S0867F0002.1.Lab 2 (S0867F0002.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0002.1,2,,
-,GSM1540021,ACCURACY STUDY::Specimen-S0867F0002.2.Lab 1 (S0867F0002.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0002.2,1,,
-,GSM1540022,ACCURACY STUDY::Specimen-S0867F0002.2.Lab 2 (S0867F0002.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0002.2,2,,
-,GSM1540023,ACCURACY STUDY::Specimen-S0867F0004.1.Lab 1 (S0867F0004.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0004.1,1,,
-,GSM1540024,ACCURACY STUDY::Specimen-S0867F0004.1.Lab 2 (S0867F0004.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0004.1,2,,
-,GSM1540025,ACCURACY STUDY::Specimen-S0867F0004.2.Lab 1 (S0867F0004.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0004.2,1,,
-,GSM1540026,ACCURACY STUDY::Specimen-S0867F0004.2.Lab 2 (S0867F0004.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0004.2,2,,
-,GSM1540027,ACCURACY STUDY::Specimen-S0867F0005.1.Lab 1 (S0867F0005.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0005.1,1,,
-,GSM1540028,ACCURACY STUDY::Specimen-S0867F0005.1.Lab 2 (S0867F0005.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0005.1,2,,
-,GSM1540029,ACCURACY STUDY::Specimen-S0867F0005.2.Lab 1 (S0867F0005.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0005.2,1,,
-,GSM1540030,ACCURACY STUDY::Specimen-S0867F0005.2.Lab 2 (S0867F0005.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0005.2,2,,
-,GSM1540031,ACCURACY STUDY::Specimen-S0867F0007.1.Lab 1 (S0867F0007.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0007.1,1,,
-,GSM1540032,ACCURACY STUDY::Specimen-S0867F0007.1.Lab 2 (S0867F0007.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0007.1,2,,
-,GSM1540033,ACCURACY STUDY::Specimen-S0867F0007.2.Lab 1 (S0867F0007.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0007.2,1,,
-,GSM1540034,ACCURACY STUDY::Specimen-S0867F0007.2.Lab 2 (S0867F0007.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0007.2,2,,
-,GSM1540035,ACCURACY STUDY::Specimen-S0867F0013.1.Lab 1 (S0867F0013.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0013.1,1,,
-,GSM1540036,ACCURACY STUDY::Specimen-S0867F0013.1.Lab 2 (S0867F0013.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0013.1,2,,
-,GSM1540037,ACCURACY STUDY::Specimen-S0867F0013.2.Lab 1 (S0867F0013.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0013.2,1,,
-,GSM1540038,ACCURACY STUDY::Specimen-S0867F0013.2.Lab 2 (S0867F0013.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0013.2,2,,
-,GSM1540039,ACCURACY STUDY::Specimen-S0867F0019.1.Lab 1 (S0867F0019.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0019.1,1,,
-,GSM1540040,ACCURACY STUDY::Specimen-S0867F0019.1.Lab 2 (S0867F0019.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0019.1,2,,
-,GSM1540041,ACCURACY STUDY::Specimen-S0867F0019.2.Lab 1 (S0867F0019.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0019.2,1,,
-,GSM1540042,ACCURACY STUDY::Specimen-S0867F0019.2.Lab 2 (S0867F0019.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0019.2,2,,
-,GSM1540043,ACCURACY STUDY::Specimen-S0867F0023.1.Lab 1 (S0867F0023.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0023.1,1,,
-,GSM1540044,ACCURACY STUDY::Specimen-S0867F0023.1.Lab 2 (S0867F0023.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0023.1,2,,
-,GSM1540045,ACCURACY STUDY::Specimen-S0867F0023.2.Lab 1 (S0867F0023.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0023.2,1,,
-,GSM1540046,ACCURACY STUDY::Specimen-S0867F0023.2.Lab 2 (S0867F0023.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0023.2,2,,
-,GSM1540047,ACCURACY STUDY::Specimen-S0867F0028.1.Lab 1 (S0867F0028.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0028.1,1,,
-,GSM1540048,ACCURACY STUDY::Specimen-S0867F0028.1.Lab 2 (S0867F0028.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0028.1,2,,
-,GSM1540049,ACCURACY STUDY::Specimen-S0867F0028.2.Lab 1 (S0867F0028.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0028.2,1,,
-,GSM1540050,ACCURACY STUDY::Specimen-S0867F0028.2.Lab 2 (S0867F0028.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0028.2,2,,
-,GSM1540051,ACCURACY STUDY::Specimen-S0867F0036.1.Lab 1 (S0867F0036.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0036.1,1,,
-,GSM1540052,ACCURACY STUDY::Specimen-S0867F0036.1.Lab 2 (S0867F0036.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0036.1,2,,
-,GSM1540053,ACCURACY STUDY::Specimen-S0867F0036.2.Lab 1 (S0867F0036.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0036.2,1,,
-,GSM1540054,ACCURACY STUDY::Specimen-S0867F0036.2.Lab 2 (S0867F0036.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0036.2,2,,
-,GSM1540055,ACCURACY STUDY::Specimen-S0867F0084.1.Lab 1 (S0867F0084.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0084.1,1,,
-,GSM1540056,ACCURACY STUDY::Specimen-S0867F0084.1.Lab 2 (S0867F0084.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0084.1,2,,
-,GSM1540057,ACCURACY STUDY::Specimen-S0867F0084.2.Lab 1 (S0867F0084.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0084.2,1,,
-,GSM1540058,ACCURACY STUDY::Specimen-S0867F0084.2.Lab 2 (S0867F0084.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0084.2,2,,
-,GSM1540059,ACCURACY STUDY::Specimen-S0867F0086.1.Lab 1 (S0867F0086.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0086.1,1,,
-,GSM1540060,ACCURACY STUDY::Specimen-S0867F0086.1.Lab 2 (S0867F0086.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0086.1,2,,
-,GSM1540061,ACCURACY STUDY::Specimen-S0867F0086.2.Lab 1 (S0867F0086.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0086.2,1,,
-,GSM1540062,ACCURACY STUDY::Specimen-S0867F0086.2.Lab 2 (S0867F0086.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0086.2,2,,
-,GSM1540063,ACCURACY STUDY::Specimen-S0867F0087.1.Lab 1 (S0867F0087.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0087.1,1,,
-,GSM1540064,ACCURACY STUDY::Specimen-S0867F0087.1.Lab 2 (S0867F0087.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0087.1,2,,
-,GSM1540065,ACCURACY STUDY::Specimen-S0867F0087.2.Lab 1 (S0867F0087.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0087.2,1,,
-,GSM1540066,ACCURACY STUDY::Specimen-S0867F0087.2.Lab 2 (S0867F0087.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0087.2,2,,
-,GSM1540067,ACCURACY STUDY::Specimen-S0867F0089.1.Lab 1 (S0867F0089.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0089.1,1,,
-,GSM1540068,ACCURACY STUDY::Specimen-S0867F0089.1.Lab 2 (S0867F0089.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0089.1,2,,
-,GSM1540069,ACCURACY STUDY::Specimen-S0867F0089.2.Lab 1 (S0867F0089.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0089.2,1,,
-,GSM1540070,ACCURACY STUDY::Specimen-S0867F0089.2.Lab 2 (S0867F0089.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0089.2,2,,
-,GSM1540071,ACCURACY STUDY::Specimen-S0867F0095.1.Lab 1 (S0867F0095.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0095.1,1,,
-,GSM1540072,ACCURACY STUDY::Specimen-S0867F0095.1.Lab 2 (S0867F0095.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0095.1,2,,
-,GSM1540073,ACCURACY STUDY::Specimen-S0867F0095.2.Lab 1 (S0867F0095.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0095.2,1,,
-,GSM1540074,ACCURACY STUDY::Specimen-S0867F0095.2.Lab 2 (S0867F0095.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0095.2,2,,
-,GSM1540075,ACCURACY STUDY::Specimen-S0867F0099.1.Lab 1 (S0867F0099.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0099.1,1,,
-,GSM1540076,ACCURACY STUDY::Specimen-S0867F0099.1.Lab 2 (S0867F0099.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0099.1,2,,
-,GSM1540077,ACCURACY STUDY::Specimen-S0867F0099.2.Lab 1 (S0867F0099.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0099.2,1,,
-,GSM1540078,ACCURACY STUDY::Specimen-S0867F0099.2.Lab 2 (S0867F0099.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0099.2,2,,
-,GSM1540079,ACCURACY STUDY::Specimen-S0867F0100.1.Lab 1 (S0867F0100.1.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0100.1,1,,
-,GSM1540080,ACCURACY STUDY::Specimen-S0867F0100.1.Lab 2 (S0867F0100.1.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0100.1,2,,
-,GSM1540081,ACCURACY STUDY::Specimen-S0867F0100.2.Lab 1 (S0867F0100.2.Lab 1),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0100.2,1,,
-,GSM1540082,ACCURACY STUDY::Specimen-S0867F0100.2.Lab 2 (S0867F0100.2.Lab 2),Lung,ACCURACY STUDY,non-small-cell lung carcinoma,,,Specimen-S0867F0100.2,2,,
-,GSM1540083,EQUIVALENCE STUDY::Specimen-0222T;RNALater    ;'Rep.1 (S0867F0001.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0222T,,RNALater,
-,GSM1540084,EQUIVALENCE STUDY::Specimen-0222T;RNALater    ;'Rep.2 (S0867F0001.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0222T,,RNALater,
-,GSM1540085,EQUIVALENCE STUDY::Specimen-0298T;RNALater    ;'Rep.1 (S0867F0002.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0298T,,RNALater,
-,GSM1540086,EQUIVALENCE STUDY::Specimen-0298T;RNALater    ;'Rep.2 (S0867F0002.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0298T,,RNALater,
-,GSM1540087,EQUIVALENCE STUDY::Specimen-0338T;RNALater    ;'Rep.1 (S0867F0004.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0338T,,RNALater,
-,GSM1540088,EQUIVALENCE STUDY::Specimen-0338T;RNALater    ;'Rep.2 (S0867F0004.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0338T,,RNALater,
-,GSM1540089,EQUIVALENCE STUDY::Specimen-0350T;RNALater    ;'Rep.1 (S0867F0005.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0350T,,RNALater,
-,GSM1540090,EQUIVALENCE STUDY::Specimen-0350T;RNALater    ;'Rep.2 (S0867F0005.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0350T,,RNALater,
-,GSM1540091,EQUIVALENCE STUDY::Specimen-0595T;RNALater    ;'Rep.1 (S0867F0007.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0595T,,RNALater,
-,GSM1540092,EQUIVALENCE STUDY::Specimen-0595T;RNALater    ;'Rep.2 (S0867F0007.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0595T,,RNALater,
-,GSM1540093,EQUIVALENCE STUDY::Specimen-0620T;RNALater    ;'Rep.1 (S0867F0008.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0620T,,RNALater,
-,GSM1540094,EQUIVALENCE STUDY::Specimen-0620T;RNALater    ;'Rep.2 (S0867F0008.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0620T,,RNALater,
-,GSM1540095,EQUIVALENCE STUDY::Specimen-0672T;RNALater    ;'Rep.1 (S0867F0009.1),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0672T,,RNALater,
-,GSM1540096,EQUIVALENCE STUDY::Specimen-0672T;RNALater    ;'Rep.2 (S0867F0009.2),Lung,EQUIVALENCE STUDY,non-small-cell lung carcinoma,,,Specimen-0672T,,RNALater,
