# TITLE: Nimblegen 385K array CGH on NCI-60 cancer cell lines
# SUMMARY: The NCI-60 cancer cell lines have been used for studying cancer pathogenesis and for drug discovery. This dataset adds to the growing number of datasets on various genomic platforms that have been made public on Cellminer (http://discover.nci.nih.gov/cellminer/)
GPL13786_Group,GPL13786_Accession,GPL13786_Title,GPL13786_Source name 1,GPL13786_Source name 2,GPL13786_Cell line (Ch1),GPL13786_Tissue of origin (Ch1),GPL13786_Age (Ch1),GPL13786_Sex (Ch1),GPL13786_Epithelial (Ch1),GPL13786_Source (Ch1),GPL13786_Ploidy (Ch1),GPL13786_P53 mutation (Ch1),GPL13786_Doubling time (Ch1),GPL13786_Sample description (Ch1),GPL13786_Sex (Ch2),GPL13786_Sample description (Ch2),GPL13786_Prior treatment (Ch1),GPL13786_Cell line (Ch2),GPL13786_Tissue of origin (Ch2),GPL13786_Age (Ch2),GPL13786_Epithelial (Ch2),GPL13786_Ploidy (Ch2),GPL13786_P53 mutation (Ch2),GPL13786_Doubling time (Ch2)
-,GSM750800,CO:SW620 (58607),CO:SW620,Male human reference,CO:SW620,Colon,51,M,yes,,"2n+/-, Near-diploid 46+/- (35-57)",MT,20.4,Carcinoma-undifferentiated,M,Pool of six normal male samples,,,,,,,,
-,GSM750801,BR:MCF7 (59116),BR:MCF7,Male human reference,BR:MCF7,Breast,69,F,yes,Pleural effusion,"3n-, Hypotriploid (58-68)",WT,25.4,Adenocarcinoma-mammary gland; breast; metastatic site: pleural effusion;,M,Pool of six normal male samples,,,,,,,,
-,GSM750802,LC:NCI-H322M (59134),LC:NCI-H322M,Male human reference,LC:NCI-H322M,Non-Small Cell Lung,52,M,yes,,"2n+/-, Near-diploid 46+/- (35-57)",MT,35.3,Small cell Bronchioalveolar Carcinoma,M,Pool of six normal male samples,None,,,,,,,
-,GSM750803,LC:NCI-H23 (59209),LC:NCI-H23,Male human reference,LC:NCI-H23,Non-Small Cell Lung,,M,yes,,"2n+, Hyperdiploid (47-57)",MT,33.4,Adenocarcinoma-undifferentiated,M,Pool of six normal male samples,None,,,,,,,
-,GSM750804,LC:HOP-62 (59212),LC:HOP-62,Male human reference,LC:HOP-62,Non-Small Cell Lung,60,F,yes,,"4n+, Hypertetraploid (93-103)",MT,39,adenocarcinoma-undifferentiated,M,Pool of six normal male samples,None,,,,,,,
-,GSM750805,LC:HOP-92 (59214),LC:HOP-92,Male human reference,LC:HOP-92,Non-Small Cell Lung,62,M,yes,,"4n+/-, Near-tetraploid 92+/- (81-103)",MT,79.5,Large cell-undifferentiated,M,Pool of six normal male samples,None,,,,,,,
-,GSM750806,LE:CCRF-CEM (59223),LE:CCRF-CEM,Male human reference,LE:CCRF-CEM,Leukemia,,F,no,,"2n+/-, Near-diploid 46+/- (35-57)",MT,26.7,ALL,M,Pool of six normal male samples,Rad/Mtx/Cyx,,,,,,,
-,GSM750807,RE:TK10 (59234),RE:TK10,Male human reference,RE:TK10,Renal,43,M,yes,,"4n, Tetraploid (92)",MT,51.3,Renal Spindle cell carcinoma,M,Pool of six normal male samples,None,,,,,,,
-,GSM750808,ME:LOXIMVI (59327),ME:LOXIMVI,Male human reference,ME:LOXIMVI,Melanoma,58,M,no,,"3n+/-, Near-triploid 69+/- (58-80)",WT,20.5,Malignant amelanotic melanoma,M,Pool of six normal male samples,None,,,,,,,
-,GSM750809,LC:NCI-H460 (59507),LC:NCI-H460,Male human reference,LC:NCI-H460,Non-Small Cell Lung,,M,yes,Pleural effusion,"2n+/-, Near-diploid 46+/- (35-57)",WT,17.8,Large Cell Carcinoma-undifferentiated,M,Pool of six normal male samples,,,,,,,,
-,GSM750810,LC:EKVX (59988),LC:EKVX,Male human reference,LC:EKVX,Non-Small Cell Lung,,M,yes,,"3n+/-, Near-triploid 69+/- (58-80)",MT,43.6,Adenocarcinoma-moderate differentiation,M,Pool of six normal male samples,,,,,,,,
-,GSM750811,LE:K-562 (60043),LE:K-562,Male human reference,LE:K-562,Leukemia,53,F,no,Pleural effusion,"3n-, Hypotriploid (58-68)",MT,19.6,CML,M,Pool of six normal male samples,Bisulfan/PiBr,,,,,,,
-,GSM750812,LE:HL-60 (60085),LE:HL-60,Male human reference,LE:HL-60,Leukemia,36,M,no,PBL,"2n+/-, Near-diploid 46+/- (35-57)",MT,28.6,Pro myelocytic leukemia,M,Pool of six normal male samples,None,,,,,,,
-,GSM750813,LE:RPMI-8226 (60698),LE:RPMI-8226,Male human reference,LE:RPMI-8226,Leukemia,61,M,no,PB,"3n-, Hypotriploid (58-68)",WT,33.5,Myeloma,M,Pool of six normal male samples,None,,,,,,,
-,GSM750814,ME:MDA-MB-435 (60774),ME:MDA-MB-435,Male human reference,ME:MDA-MB-435,Melanoma,31,F,no,Pleural effusion,"2n+, Hyperdiploid (47-57)",MT,25.8,Ductal carcinoma-mammary gland; breast; duct; metastatic site: pleural effusion;,M,Pool of six normal male samples,,,,,,,,
-,GSM750815,LE:SR (61073),LE:SR,Male human reference,LE:SR,Leukemia,11,M,no,,"2n+/-, Near-diploid 46+/- (35-57)",,28.7,Lymphoma,M,Pool of six normal male samples,,,,,,,,
-,GSM750816,RE:CAKI-1 (64887),RE:CAKI-1,Male human reference,RE:CAKI-1,Renal,49,M,yes,Metastasis,"3n, Triploid (69)",WT,39,Clear cell carcinoma,M,Pool of six normal male samples,Rad/HU/5FU/Mtx/Ctx,,,,,,,
-,GSM750817,OV:OVCAR-3 (64892),OV:OVCAR-3,Male human reference,OV:OVCAR-3,Ovarian,60,F,yes,Ascites,"3n+/-, Near-triploid 69+/- (58-80)",MT,34.7,Adenocarcinoma-moderate differentiation,M,Pool of six normal male samples,CyPh/CsPt/Adr,,,,,,,
-,GSM750818,ME:UACC-257 (64895),ME:UACC-257,Male human reference,ME:UACC-257,Melanoma,,,no,,"3n+, Hypertriploid (70-80)",WT,38.5,Melanotic melanoma,M,Pool of six normal male samples,,,,,,,,
-,GSM750819,OV:OVCAR-8 (64899),OV:OVCAR-8,Male human reference,OV:OVCAR-8,Ovarian,64,F,yes,,"2n+, Hyperdiploid (47-57)",MT,26.1,Carcinoma-undifferentiated,M,Pool of six normal male samples,Ctx/Adr/CsPt/CyPh,,,,,,,
-,GSM750820,LC:NCI-H226 (64901),LC:NCI-H226,Male human reference,LC:NCI-H226,Non-Small Cell Lung,,M,yes,,"3n, Triploid (69)",MT,61,Squamous cell carcinoma-very poorly differentiated,M,Pool of six normal male samples,None (non smoker),,,,,,,
-,GSM750821,LE:MOLT-4 (66649),LE:MOLT-4,Male human reference,LE:MOLT-4,Leukemia,19,M,no,PB,"4n, Tetraploid (92)",WT,27.9,ALL (cells were taken when patient was in relapse),M,Pool of six normal male samples,VB/6MP/Pred,,,,,,,
-,GSM750822,ME:MALME-3M (69209),ME:MALME-3M,Male human reference,ME:MALME-3M,Melanoma,43,M,no,Metastasis,"4n+/-, Near-tetraploid 92+/- (81-103)",WT,46.2,Malignant melanotic melanoma,M,Pool of six normal male samples,None,,,,,,,
-,GSM750823,ME:MDA-N (69213),ME:MDA-N,Male human reference,ME:MDA-N,Melanoma,31,F,no,Pleural effusion,,MT,22.5,Ductal carcinoma-mammary gland; breast; duct; metastatic site: pleural effusion;,M,Pool of six normal male samples,,,,,,,,
-,GSM750824,ME:SK-MEL-2 (69214),ME:SK-MEL-2,Male human reference,ME:SK-MEL-2,Melanoma,60,M,no,Metastasis,"4n-, Hypotetraploid (81-91)",WT,45.5,Malignant melanotic melanoma,M,Pool of six normal male samples,None,,,,,,,
-,GSM750825,ME:SK-MEL-28 (69215),ME:SK-MEL-28,Male human reference,ME:SK-MEL-28,Melanoma,51,M,no,,"4n-, Hypotetraploid (81-91)",MT,35.1,Malignant melanotic melanoma,M,Pool of six normal male samples,None,,,,,,,
-,GSM750826,ME:SK-MEL-5 (69216),ME:SK-MEL-5,Male human reference,ME:SK-MEL-5,Melanoma,24,F,no,Metastasis,"4n+, Hypertetraploid (93-103)",WT,25.2,Malignant melanotic melanoma,M,Pool of six normal male samples,None,,,,,,,
-,GSM750827,OV:IGROV-1 (69218),OV:IGROV-1,Male human reference,OV:IGROV-1,Ovarian,47,F,yes,,"4n+/-, Near-tetraploid 92+/- (81-103)",MT,31,Cystoadenocarcinoma-poor differentiation,M,Pool of six normal male samples,Rad,,,,,,,
-,GSM750828,ME:UACC-62 (69219),ME:UACC-62,Male human reference,ME:UACC-62,Melanoma,,,no,,"3n+/-, Near-triploid 69+/- (58-80)",WT,31.3,Melanotic melanoma,M,Pool of six normal male samples,,,,,,,,
-,GSM750829,OV:OVCAR-4 (69220),OV:OVCAR-4,Male human reference,OV:OVCAR-4,Ovarian,42,F,yes,,"3n+/-, Near-triploid 69+/- (58-80)",WT,41.4,Adenocarcinoma-moderate differentiation,M,Pool of six normal male samples,CyPh/CsPt/Adr,,,,,,,
-,GSM750830,OV:OVCAR-5 (69221),OV:OVCAR-5,Male human reference,OV:OVCAR-5,Ovarian,67,F,yes,,"2n+, Hyperdiploid (47-57)",MT,48.8,Adenocarcinoma-well differentiated,M,Pool of six normal male samples,None,,,,,,,
-,GSM750831,OV:OVCAR-8 (69222),OV:OVCAR-8,Male human reference,OV:OVCAR-8,Ovarian,64,F,yes,,"2n+, Hyperdiploid (47-57)",MT,26.1,Carcinoma-undifferentiated,M,Pool of six normal male samples,Ctx/Adr/CsPt/CyPh,,,,,,,
-,GSM750832,OV:NCI/ADR-RES (69223),OV:NCI/ADR-RES,Male human reference,OV:NCI/ADR-RES,Ovarian,,F,yes,,"2n+/-, Near-diploid 46+/- (35-57)",MT,34,Adenocarcinoma,M,Pool of six normal male samples,,,,,,,,
-,GSM750833,OV:SKOV3 (69224),OV:SKOV3,Male human reference,OV:SKOV3,Ovarian,64,F,yes,Ascites,"4n+/-, Near-tetraploid 92+/- (81-103)",,48.7,Adenocarcinoma-very poorly differentiated,M,Pool of six normal male samples,Thiotepa,,,,,,,
-,GSM750834,PR:DU-145 (69225),PR:DU-145,Male human reference,PR:DU-145,Prostate,69,M,yes,Metastasis,"3n+/-, Near-triploid 69+/- (58-80)",,32.3,prostate; metastatic site: brain; carcinoma (patient with metastatic carcinoma of the prostate and a 3 year history of lymphocytic leukemia.),M,Pool of six normal male samples,Androgen independent and unresponsive to hormone therapy,,,,,,,
-,GSM750835,PR:PC-3 (69226),PR:PC-3,Male human reference,PR:PC-3,Prostate,62,M,yes,,"4n, Tetraploid (92)",MT,27.1,Adenocarcinoma-prostate; metastatic site: bone;,M,Pool of six normal male samples,,,,,,,,
-,GSM750836,RE:A498 (69227),RE:A498,Male human reference,RE:A498,Renal,52,F,yes,,"3n, Triploid (69)",WT,66.8,Adenocarcinoma,M,Pool of six normal male samples,,,,,,,,
-,GSM750837,RE:ACHN (69228),RE:ACHN,Male human reference,RE:ACHN,Renal,22,M,yes,,"2n+/-, Near-diploid 46+/- (35-57)",WT,27.5,Renal cell carcinoma-poor to moderate differentiation,M,Pool of six normal male samples,Rad/VB/CCNU/Mto/Pred,,,,,,,
-,GSM750838,RE:786-0 (69229),RE:786-0,Male human reference,RE:786-0,Renal,58,M,yes,,"4n+/-, Near-tetraploid 92+/- (81-103)",MT,22.4,Adenocarcinoma,M,Pool of six normal male samples,None,,,,,,,
-,GSM750839,RE:RXF-393 (69230),RE:RXF-393,Male human reference,RE:RXF-393,Renal,54,M,yes,,"3n+/-, Near-triploid 69+/- (58-80)",MT,62.9,hypernephroma-poor differentiation,M,Pool of six normal male samples,None,,,,,,,
-,GSM750840,RE:SN12C (69231),RE:SN12C,Male human reference,RE:SN12C,Renal,43,M,yes,,"3n, Triploid (69)",MT,29.5,Renal cell carcinoma-poor differentiation,M,Pool of six normal male samples,None,,,,,,,
-,GSM750841,RE:UO-31 (69232),RE:UO-31,Male human reference,RE:UO-31,Renal,,F,yes,,"2n+/-, Near-diploid 46+/- (35-57)",WT,41.7,Renal cell carcinoma-very poorly differentiated,M,Pool of six normal male samples,None,,,,,,,
