# TITLE: Expression data from Lung cancer
# SUMMARY: Detection, treatment, and prediction of outcome for lung cancer patients increasingly depend on a molecular understanding of tumor development and sensitivity of lung cancer to therapeutic drugs. The application of genomic technologies, such as microarray, is widely used to monitor global gene expression and has built up invaluable information and knowledge, which is essential to the discovery of new insights into the mechanisms common to cancer cells, resulting in the identification of unique, identifiable signatures and specific characteristics. It is likely that application of microarray may revolutionize many aspects of lung cancer being diagnosed, classified, and treated in the near future. We used microarrays to detail the global gene expression patterns of lung cancer. Keywords: Disease state analysis
GPL96_Group,GPL96_Accession,GPL96_Title,GPL96_Source name,GPL96_Adjacent normal part of adenocarcinoma,GPL96_Sex,GPL96_Tumor part of adenocarcinoma,GPL96_Adjacent normal part of large cell lung cancer,GPL96_Tumor part of lage cell lung cancer,GPL96_Characteristics,GPL96_Adenocarcinoma
-,GSM185858,29T: Tumor part of adenocarcinoma,29T,,male,,,,,
-,GSM185859,30N: Adjacent normal part of adenocarcinoma,30N,,female,,,,,
-,GSM185860,30T: Tumor part of adenocarcinoma,30T,,female,,,,,
-,GSM185861,54N: Adjacent normal part of adenocarcinoma,54N,,female,,,,,
-,GSM185862,54T: Tumor part of adenocarcinoma,54T,,female,,,,,
-,GSM185863,57N: Adjacent normal part of adenocarcinoma,57N,,female,,,,,
-,GSM185864,57T: Tumor part of adenocarcinoma,57T,,female,,,,,
-,GSM185865,Adj. N. mixture: Adjacent normal part of adenocarcinoma,Adj. N. mixture,,mixture,,,,,
-,GSM185866,T. mixture: Tumor part of adenocarcinoma,T. mixture,,mixture,,,,,
-,GSM185867,N. (Stratagene): Normal lung tissues (Cat. 735020),N. (Stratagene),,female,,,,Normal lung tissues (Cat. 735020),
-,GSM185868,N. (Clontech): Normal lung tissues (Cat. 636524),N. (Clontech),,mixture,,,,Normal lung tissues (Cat. 636524),
-,GSM185869,A549: Carcinomatoma (ATCC No.: CCL-185™),A549,,male,,,,Carcinomatoma (ATCC No.: CCL-185™),
-,GSM185870,H661: Large cell lung cancer (ATCC No.: HTB-183™),H661,,male,,,,Large cell lung cancer (ATCC No.: HTB-183™),
-,GSM185871,H1299: Non-small cell lung cancer (ATCC No.: CRL-5803™),H1299,,male,,,,Non-small cell lung cancer (ATCC No.: CRL-5803™),
-,GSM185872,"NL-20: Immortalized, nontumorigenic human bronchial epithelial cell line (ATCC No.: CRL-2503™ )",NL-20,,female,,,,"Immortalized, nontumorigenic human bronchial epithelial cell line (ATCC No.: CRL-2503™ )",
-,GSM185873,CL1-0: Adenocarcinoma,CL1-0,,male,,,,,
-,GSM185874,CL1-1: Adenocarcinoma,CL1-1,,male,,,,,
-,GSM185875,CL1-5: Adenocarcinoma,CL1-5,,male,,,,,
-,GSM185876,CL1-5-F4: Adenocarcinoma,CL1-5-F4,,male,,,,,
