# TITLE: Genome-wide DNA methylation analysis of lung carcinoma
# SUMMARY: Lung cancer is the worldwide leading cause of death from cancer. DNA methylation in gene promoter regions is a major mechanism of gene expression regulation that may promote tumorigenesis. However, whether clinically relevant subgroups based on DNA methylation patterns exist in lung cancer is not well studied. We performed whole-genome methylation analysis using 450K Illumina BeadArrays on 124 tumors including 83 adenocarcinomas, 23 squamous cell carcinomas, one adenosquamous cancer, five large cell carcinomas, nine large cell neuroendocrine carcinomas (LCNEC), three small cell carcinomas (SCLC) and 12 normal lung tissues. Unsupervised class discovery was performed to identify DNA methylation subgroups with clinicopathological and molecular features. Subgroups were validated in two independent NSCLC cohorts. Unsupervised analysis identified five DNA methylation subgroups (epitypes). One epitype was distinctly associated with neuroendocrine tumors (LCNEC and SCLC). For adenocarcinoma, in both discovery and validation cohorts, remaining four epitypes were associated with differences in clinicopathological and molecular features, including global hypomethylation, promoter hypermethylation, copy number alterations, expression of proliferation-associated genes, association with unsupervised and supervised gene expression phenotypes, KRAS, TP53, KEAP1, SMARCA4, and STK11 mutations, smoking history, and patient outcome. Based on a multicohort approach we conducted a comprehensive survey of genome-wide DNA methylation in lung cancer, identifying a distinct neuroendocrine epitype and four adenocarcinoma epitypes associated with molecular and clinicopathological characteristics, and patient outcome. Our results bring further understanding of the epigenetic characteristics and molecular diversity in lung cancer generally and in adenocarcinoma specifically.
GPL13534_Group,GPL13534_Accession,GPL13534_Title,GPL13534_Source name,GPL13534_Disease state
-,GSM1351904,LU411,Lung tumor,lung carcinomas
-,GSM1351905,LU418,Lung tumor,lung carcinomas
-,GSM1351906,LU427,Lung tumor,lung carcinomas
-,GSM1351907,LU434,Lung tumor,lung carcinomas
-,GSM1351908,LU436,Lung tumor,lung carcinomas
-,GSM1351909,LU444,Lung tumor,lung carcinomas
-,GSM1351910,LU449,Lung tumor,lung carcinomas
-,GSM1351911,LU460,Lung tumor,lung carcinomas
-,GSM1351912,LU464,Lung tumor,lung carcinomas
-,GSM1351913,LU468,Lung tumor,lung carcinomas
-,GSM1351914,LU473,Lung tumor,lung carcinomas
-,GSM1351915,LU485,Lung tumor,lung carcinomas
-,GSM1351916,LU500,Lung tumor,lung carcinomas
-,GSM1351917,LU510,Lung tumor,lung carcinomas
-,GSM1351918,LU583,Lung tumor,lung carcinomas
-,GSM1351919,LU627,Lung tumor,lung carcinomas
-,GSM1351920,LU635,Lung tumor,lung carcinomas
-,GSM1351921,LU647,Lung tumor,lung carcinomas
-,GSM1351922,LU648,Lung tumor,lung carcinomas
-,GSM1351923,LU660,Lung tumor,lung carcinomas
-,GSM1351924,LU666,Lung tumor,lung carcinomas
-,GSM1351925,LU667,Lung tumor,lung carcinomas
-,GSM1351926,LU672,Lung tumor,lung carcinomas
-,GSM1351927,LU673,Lung tumor,lung carcinomas
-,GSM1351928,LU681,Lung tumor,lung carcinomas
-,GSM1351929,LU704,Lung tumor,lung carcinomas
-,GSM1351930,LU709,Lung tumor,lung carcinomas
-,GSM1351931,LU717,Lung tumor,lung carcinomas
-,GSM1351932,LU727,Lung tumor,lung carcinomas
-,GSM1351933,LU738,Lung tumor,lung carcinomas
-,GSM1351934,LU749,Lung tumor,lung carcinomas
-,GSM1351935,LU752,Lung tumor,lung carcinomas
-,GSM1351936,LU755,Lung tumor,lung carcinomas
-,GSM1351937,LU768,Lung tumor,lung carcinomas
-,GSM1351938,LU773,Lung tumor,lung carcinomas
-,GSM1351939,LU782,Lung tumor,lung carcinomas
-,GSM1351940,LU785,Lung tumor,lung carcinomas
-,GSM1351941,LU788,Lung tumor,lung carcinomas
-,GSM1351942,LU797,Lung tumor,lung carcinomas
-,GSM1351943,LU804,Lung tumor,lung carcinomas
-,GSM1351944,LU820,Lung tumor,lung carcinomas
-,GSM1351945,LU821,Lung tumor,lung carcinomas
-,GSM1351946,LU826,Lung tumor,lung carcinomas
-,GSM1351947,LU847,Lung tumor,lung carcinomas
-,GSM1351948,LU851,Lung tumor,lung carcinomas
-,GSM1351949,LU856,Lung tumor,lung carcinomas
-,GSM1351950,LU859,Lung tumor,lung carcinomas
-,GSM1351951,LU866,Lung tumor,lung carcinomas
-,GSM1351952,LU867,Lung tumor,lung carcinomas
-,GSM1351953,LU876,Lung tumor,lung carcinomas
-,GSM1351954,LU887,Lung tumor,lung carcinomas
-,GSM1351955,LU968,Lung tumor,lung carcinomas
-,GSM1351956,LU976,Lung tumor,lung carcinomas
-,GSM1351957,LU983,Lung tumor,lung carcinomas
-,GSM1351958,LU987,Lung tumor,lung carcinomas
-,GSM1351959,LU990,Lung tumor,lung carcinomas
-,GSM1351960,LU998,Lung tumor,lung carcinomas
-,GSM1351961,LU1020,Lung tumor,lung carcinomas
-,GSM1351962,LU1040,Lung tumor,lung carcinomas
-,GSM1351963,LU1041,Lung tumor,lung carcinomas
-,GSM1351964,LU1054,Lung tumor,lung carcinomas
-,GSM1351965,LU1074,Lung tumor,lung carcinomas
-,GSM1351966,LU1089,Lung tumor,lung carcinomas
-,GSM1351967,LU1090,Lung tumor,lung carcinomas
-,GSM1351968,LU1094,Lung tumor,lung carcinomas
-,GSM1351969,LU1096,Lung tumor,lung carcinomas
-,GSM1351970,LU1097,Lung tumor,lung carcinomas
-,GSM1351971,LU1098,Lung tumor,lung carcinomas
-,GSM1351972,LU1110,Lung tumor,lung carcinomas
-,GSM1351973,LU1114,Lung tumor,lung carcinomas
-,GSM1351974,LU1115,Lung tumor,lung carcinomas
-,GSM1351975,LU1117,Lung tumor,lung carcinomas
-,GSM1351976,LU1118,Lung tumor,lung carcinomas
-,GSM1351977,LU1121,Lung tumor,lung carcinomas
-,GSM1351978,LU1124,Lung tumor,lung carcinomas
-,GSM1351979,LU1134,Lung tumor,lung carcinomas
-,GSM1351980,LU1136,Lung tumor,lung carcinomas
-,GSM1351981,LU1138,Lung tumor,lung carcinomas
-,GSM1351982,LU1149,Lung tumor,lung carcinomas
-,GSM1351983,LU1151,Lung tumor,lung carcinomas
-,GSM1351984,LU1152,Lung tumor,lung carcinomas
-,GSM1351985,LU1153,Lung tumor,lung carcinomas
-,GSM1351986,LU1157,Lung tumor,lung carcinomas
-,GSM1351987,LU1162,Lung tumor,lung carcinomas
-,GSM1351988,LU1163,Lung tumor,lung carcinomas
-,GSM1351989,LU1167,Lung tumor,lung carcinomas
-,GSM1351990,LU1090_N,Normal lung tissue,normal
-,GSM1351991,LU1096_N,Normal lung tissue,normal
-,GSM1351992,LU1098_N,Normal lung tissue,normal
-,GSM1351993,LU1114_N,Normal lung tissue,normal
-,GSM1351994,LU1115_N,Normal lung tissue,normal
-,GSM1351995,LU1117_N,Normal lung tissue,normal
-,GSM1351996,LU1134_N,Normal lung tissue,normal
-,GSM1351997,LU1136_N,Normal lung tissue,normal
-,GSM1351998,LU1138_N,Normal lung tissue,normal
-,GSM1351999,LU1149_N,Normal lung tissue,normal
-,GSM1352000,LU1152_N,Normal lung tissue,normal
-,GSM1352001,LU976_N,Normal lung tissue,normal
