# TITLE: Tumor hypoxia causes DNA hypermethylation by reducing TET activity
# SUMMARY: This SuperSeries is composed of the SubSeries listed below.
GPL11154_Group,GPL11154_Accession,GPL11154_Title,GPL11154_Source name,GPL11154_Oxygen concentration,GPL11154_Experiment,GPL11154_Cell line,GPL11154_Dip antibody,GPL11154_Replicate,GPL16304_Group,GPL16304_Accession,GPL16304_Title,GPL16304_Source name,GPL16304_Dna pretreatment,GPL16304_Batch,GPL16304_Tumor name,GPL16304_Tabchip or bschip,GPL16304_Hypoxia status,GPL17021_Group,GPL17021_Accession,GPL17021_Title,GPL17021_Source name,GPL17021_Strain,GPL17021_Hydrodynamically injected plasmid,GPL17021_Age,GPL17021_Replicate
-,GSM1833712,"mDIPseq MCF7 hypoxia exp 4, rep A",MCF7 cells,0.5% oxygen,4,MCF7,"anti 5mC (clone 33D3, Eurogentec)",A,-,GSM1833664,NSCLC 11 - BSchip - hypoxic,"non-small-cell lung tumor, hypoxic, BS-chip",none,3,NSCLC 11,BSchip,hypoxic,-,GSM1833758,shallow TABseq on a PyMT-induced breast tumor from a empty PRRL2-vector-overexpressing mouse 1,PyMT-induced breast tumor,FVB,empty PRRL2,12 weeks,A
-,GSM1833713,"mDIPseq MCF7 hypoxia exp 4, rep B",MCF7 cells,0.5% oxygen,4,MCF7,"anti 5mC (clone 33D3, Eurogentec)",B,-,GSM1833665,NSCLC 12 - BSchip - hypoxic,"non-small-cell lung tumor, hypoxic, BS-chip",none,3,NSCLC 12,BSchip,hypoxic,-,GSM1833759,shallow TABseq on a PyMT-induced breast tumor from a empty PRRL2-vector-overexpressing mouse 2,PyMT-induced breast tumor,FVB,empty PRRL2,12 weeks,B
-,GSM1833722,"mDIPseq MCF7 normoxia exp 1, rep A",MCF7 cells,21% oxygen,1,MCF7,"anti 5mC (clone 33D3, Eurogentec)",A,-,GSM1833666,NSCLC 13 - BSchip - normoxic,"non-small-cell lung tumor, normoxic, BS-chip",none,3,NSCLC 13,BSchip,normoxic,-,GSM1833760,shallow TABseq on a PyMT-induced breast tumor from a empty PRRL2-vector-overexpressing mouse 3,PyMT-induced breast tumor,FVB,empty PRRL2,12 weeks,C
-,GSM1833723,"mDIPseq MCF7 normoxia exp 1, rep B",MCF7 cells,21% oxygen,1,MCF7,"anti 5mC (clone 33D3, Eurogentec)",B,-,GSM1833667,NSCLC 14 - BSchip - normoxic,"non-small-cell lung tumor, normoxic, BS-chip",none,3,NSCLC 14,BSchip,normoxic,,,,,,,,
-,GSM1833724,"mDIPseq MCF7 normoxia exp 2, rep A",MCF7 cells,21% oxygen,2,MCF7,"anti 5mC (clone 33D3, Eurogentec)",A,-,GSM1833668,NSCLC 15 - BSchip - normoxic,"non-small-cell lung tumor, normoxic, BS-chip",none,3,NSCLC 15,BSchip,normoxic,,,,,,,,
-,GSM1833725,"mDIPseq MCF7 normoxia exp 2, rep B",MCF7 cells,21% oxygen,2,MCF7,"anti 5mC (clone 33D3, Eurogentec)",B,-,GSM1833669,NSCLC 16 - BSchip - normoxic,"non-small-cell lung tumor, normoxic, BS-chip",none,4,NSCLC 16,BSchip,normoxic,,,,,,,,
-,GSM1833726,"mDIPseq MCF7 normoxia exp 3, rep A",MCF7 cells,21% oxygen,3,MCF7,"anti 5mC (clone 33D3, Eurogentec)",A,-,GSM1833670,NSCLC 17 - BSchip - normoxic,"non-small-cell lung tumor, normoxic, BS-chip",none,3,NSCLC 17,BSchip,normoxic,,,,,,,,
-,GSM1833727,"mDIPseq MCF7 normoxia exp 3, rep B",MCF7 cells,21% oxygen,3,MCF7,"anti 5mC (clone 33D3, Eurogentec)",B,-,GSM1833671,NSCLC 18 - BSchip - normoxic,"non-small-cell lung tumor, normoxic, BS-chip",none,4,NSCLC 18,BSchip,normoxic,,,,,,,,
-,GSM1833728,"mDIPseq MCF7 normoxia exp 4, rep A",MCF7 cells,21% oxygen,4,MCF7,"anti 5mC (clone 33D3, Eurogentec)",A,-,GSM1833672,NSCLC 19 - BSchip - normoxic,"non-small-cell lung tumor, normoxic, BS-chip",none,3,NSCLC 19,BSchip,normoxic,,,,,,,,
-,GSM1833729,"mDIPseq MCF7 normoxia exp 4, rep B",MCF7 cells,21% oxygen,4,MCF7,"anti 5mC (clone 33D3, Eurogentec)",B,-,GSM1833673,NSCLC 20 - BSchip - normoxic,"non-small-cell lung tumor, normoxic, BS-chip",none,3,NSCLC 20,BSchip,normoxic,,,,,,,,
-,GSM2112478,hmDIPseq MCF7 hypoxia exp 1,MCF7 cells,0.5% oxygen,1,,anti 5hmC (Active Motif cat 39791),A,-,GSM1833674,NSCLC 21 - BSchip - normoxic,"non-small-cell lung tumor, normoxic, BS-chip",none,3,NSCLC 21,BSchip,normoxic,,,,,,,,
-,GSM2112479,hmDIPseq MCF7 hypoxia exp 2,MCF7 cells,0.5% oxygen,2,,anti 5hmC (Active Motif cat 39791),A,-,GSM1833675,NSCLC 22 - BSchip - normoxic,"non-small-cell lung tumor, normoxic, BS-chip",none,3,NSCLC 22,BSchip,normoxic,,,,,,,,
-,GSM2112480,hmDIPseq MCF7 hypoxia exp 3,MCF7 cells,0.5% oxygen,3,,anti 5hmC (Active Motif cat 39791),A,-,GSM1833676,NSCLC 23 - BSchip - normoxic,"non-small-cell lung tumor, normoxic, BS-chip",none,3,NSCLC 23,BSchip,normoxic,,,,,,,,
-,GSM2112481,hmDIPseq MCF7 normoxia exp 1,MCF7 cells,21% oxygen,1,,anti 5hmC (Active Motif cat 39791),A,-,GSM1833677,NSCLC 24 - BSchip - normoxic,"non-small-cell lung tumor, normoxic, BS-chip",none,3,NSCLC 24,BSchip,normoxic,,,,,,,,
-,GSM2112482,hmDIPseq MCF7 normoxia exp 2,MCF7 cells,21% oxygen,2,,anti 5hmC (Active Motif cat 39791),A,-,GSM1833678,NSCLC 1 - TABchip - hypoxic,"non-small-cell lung tumor, hypoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,1,NSCLC 1,TABchip,hypoxic,,,,,,,,
-,GSM2112483,hmDIPseq MCF7 normoxia exp 3,MCF7 cells,21% oxygen,3,,anti 5hmC (Active Motif cat 39791),A,-,GSM1833679,NSCLC 2 - TABchip - hypoxic,"non-small-cell lung tumor, hypoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,2,NSCLC 2,TABchip,hypoxic,,,,,,,,
-,GSM2112484,input MCF7 hypoxia exp 1,MCF7 cells,0.5% oxygen,1,,NA,A,-,GSM1833680,NSCLC 3 - TABchip - hypoxic,"non-small-cell lung tumor, hypoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,2,NSCLC 3,TABchip,hypoxic,,,,,,,,
-,GSM2112485,input MCF7 hypoxia exp 2,MCF7 cells,0.5% oxygen,2,,NA,A,-,GSM1833681,NSCLC 4 - TABchip - hypoxic,"non-small-cell lung tumor, hypoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,1,NSCLC 4,TABchip,hypoxic,,,,,,,,
-,GSM2112486,input MCF7 hypoxia exp 3,MCF7 cells,0.5% oxygen,3,,NA,A,-,GSM1833682,NSCLC 5 - TABchip - hypoxic,"non-small-cell lung tumor, hypoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,2,NSCLC 5,TABchip,hypoxic,,,,,,,,
-,GSM2112487,input MCF7 normoxia exp 1,MCF7 cells,21% oxygen,1,,NA,A,-,GSM1833683,NSCLC 6 - TABchip - hypoxic,"non-small-cell lung tumor, hypoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,2,NSCLC 6,TABchip,hypoxic,,,,,,,,
-,GSM2112488,input MCF7 normoxia exp 2,MCF7 cells,21% oxygen,2,,NA,A,-,GSM1833684,NSCLC 7 - TABchip - hypoxic,"non-small-cell lung tumor, hypoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,1,NSCLC 7,TABchip,hypoxic,,,,,,,,
-,GSM2112489,input MCF7 normoxia exp 3,MCF7 cells,21% oxygen,3,,NA,A,-,GSM1833685,NSCLC 8 - TABchip - hypoxic,"non-small-cell lung tumor, hypoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,2,NSCLC 8,TABchip,hypoxic,,,,,,,,
-,GSM2112490,"RiboMinusRNAseq MCF7 normoxia, exp 1",MCF7 cells,21% oxygen,1,,,A,-,GSM1833686,NSCLC 9 - TABchip - hypoxic,"non-small-cell lung tumor, hypoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,1,NSCLC 9,TABchip,hypoxic,,,,,,,,
-,GSM2112491,"RiboMinusRNAseq MCF7 hypoxia, exp1",MCF7 cells,0.5% oxygen,1,,,A,-,GSM1833687,NSCLC 10 - TABchip - hypoxic,"non-small-cell lung tumor, hypoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,2,NSCLC 10,TABchip,hypoxic,,,,,,,,
-,GSM2112492,"RiboMinusRNAseq MCF7 normoxia, exp 2",MCF7 cells,21% oxygen,1,,,B,-,GSM1833688,NSCLC 11 - TABchip - hypoxic,"non-small-cell lung tumor, hypoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,1,NSCLC 11,TABchip,hypoxic,,,,,,,,
-,GSM2112493,"RiboMinusRNAseq MCF7 hypoxia, exp 2",MCF7 cells,0.5% oxygen,1,,,B,-,GSM1833689,NSCLC 12 - TABchip - hypoxic,"non-small-cell lung tumor, hypoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,1,NSCLC 12,TABchip,hypoxic,,,,,,,,
-,GSM2112494,"RiboMinusRNAseq MCF7 normoxia, exp 3",MCF7 cells,21% oxygen,2,,,A,-,GSM1833690,NSCLC 13 - TABchip - normoxic,"non-small-cell lung tumor, normoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,1,NSCLC 13,TABchip,normoxic,,,,,,,,
-,GSM2112495,"RiboMinusRNAseq MCF7 hypoxia, exp 3",MCF7 cells,0.5% oxygen,2,,,A,-,GSM1833691,NSCLC 14 - TABchip - normoxic,"non-small-cell lung tumor, normoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,1,NSCLC 14,TABchip,normoxic,,,,,,,,
,,,,,,,,,-,GSM1833692,NSCLC 15 - TABchip - normoxic,"non-small-cell lung tumor, normoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,2,NSCLC 15,TABchip,normoxic,,,,,,,,
,,,,,,,,,-,GSM1833693,NSCLC 16 - TABchip - normoxic,"non-small-cell lung tumor, normoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,1,NSCLC 16,TABchip,normoxic,,,,,,,,
,,,,,,,,,-,GSM1833694,NSCLC 17 - TABchip - normoxic,"non-small-cell lung tumor, normoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,2,NSCLC 17,TABchip,normoxic,,,,,,,,
,,,,,,,,,-,GSM1833695,NSCLC 18 - TABchip - normoxic,"non-small-cell lung tumor, normoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,1,NSCLC 18,TABchip,normoxic,,,,,,,,
,,,,,,,,,-,GSM1833696,NSCLC 19 - TABchip - normoxic,"non-small-cell lung tumor, normoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,2,NSCLC 19,TABchip,normoxic,,,,,,,,
,,,,,,,,,-,GSM1833697,NSCLC 20 - TABchip - normoxic,"non-small-cell lung tumor, normoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,2,NSCLC 20,TABchip,normoxic,,,,,,,,
,,,,,,,,,-,GSM1833698,NSCLC 21 - TABchip - normoxic,"non-small-cell lung tumor, normoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,1,NSCLC 21,TABchip,normoxic,,,,,,,,
,,,,,,,,,-,GSM1833699,NSCLC 22 - TABchip - normoxic,"non-small-cell lung tumor, normoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,2,NSCLC 22,TABchip,normoxic,,,,,,,,
,,,,,,,,,-,GSM1833700,NSCLC 23 - TABchip - normoxic,"non-small-cell lung tumor, normoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,2,NSCLC 23,TABchip,normoxic,,,,,,,,
,,,,,,,,,-,GSM1833701,NSCLC 24 - TABchip - normoxic,"non-small-cell lung tumor, normoxic, TAB-chip",DNA was glycosylated and TET-oxidized as described by Yu and colleagues (Nat Protoc 2012).,1,NSCLC 24,TABchip,normoxic,,,,,,,,
