# TITLE: Methylation analysis of HBEC cells exposed to cigarette smoke condensate (CSC) over a period of 15 months
# SUMMARY: We define how chronic cigarette smoke-induced time-dependent epigenetic alterations can sensitize human bronchial epithelial cells (HBEC) for transformation by a single oncogene. The smoke-induced, chromatin changes include initial repressive polycomb marking of genes later manifesting abnormal DNA methylation by 10 months. At this time, cells manifest epithelial to mesenchymal changes, anchorage-independent growth and upregulated RAS/MAPK signaling with silencing of hyper-methylated genes normally inhibiting these pathways and which are associated with smoking related NSCLC. These cells, in the absence of any driver gene mutations, now transform by introducing a single KRAS mutation and form adeno-squamous lung carcinomas in mice. Thus, epigenetic abnormalities may prime for changing oncogene senescence to addiction for a single key oncogene involved in lung cancer initiation.
GPL13534_Group,GPL13534_Accession,GPL13534_Title,GPL13534_Source name,GPL13534_Cell or tissue type,GPL13534_Treated with,GPL13534_Time point,GPL13534_Genotype/variation
-,GSM2711834,genomic DNA from control cells at 6 month_rep2,control cells at 6 month,human bronchial epithelial cells (HBEC),none (control),at 6 month,
-,GSM2711835,genomic DNA from CSC treated cells at 6 month_rep2,CSC treated cells at 6 month,human bronchial epithelial cells (HBEC),cigarette smoke condensate (CSC) over a period of 15 months,at 6 month,
-,GSM2711836,genomic DNA from control cells at 10 month_rep2,control cells at 10 month,human bronchial epithelial cells (HBEC),none (control),at 10 month,
-,GSM2711837,genomic DNA from CSC treated cells at 10 month_rep2,CSC treated cells at 10 month,human bronchial epithelial cells (HBEC),cigarette smoke condensate (CSC) over a period of 15 months,at 10 month,
-,GSM2711838,genomic DNA from control cells at 15 month_rep2,control cells at 15 month,human bronchial epithelial cells (HBEC),none (control),at 15 month,
-,GSM2711839,genomic DNA from CSC treated cells at 15 month_rep2,CSC treated cells at 15 month,human bronchial epithelial cells (HBEC),cigarette smoke condensate (CSC) over a period of 15 months,at 15 month,
-,GSM2711840,genomic DNA from control cells at 15 month + EV_rep1,control cells at 15 month + EV,human bronchial epithelial cells (HBEC),none (control),at 15 month,expressing empty vector (EV)
-,GSM2711841,genomic DNA from control cells at 15 month + KRASV12_rep1,control cells at 15 month + KRASV12,human bronchial epithelial cells (HBEC),none (control),at 15 month,expressing mutant KRAS (KRASV12)
-,GSM2711842,genomic DNA from CSC cells at 15 month + EV_rep1,CSC cells at 15 month + EV,human bronchial epithelial cells (HBEC),cigarette smoke condensate (CSC) over a period of 15 months,at 15 month,expressing empty vector (EV)
-,GSM2711843,genomic DNA from CSC cells at 15 month + KRASV12_rep1,CSC cells at 15 month + KRASV12,human bronchial epithelial cells (HBEC),cigarette smoke condensate (CSC) over a period of 15 months,at 15 month,expressing mutant KRAS (KRASV12)
-,GSM2711844,genomic DNA from control cells at 15 month + EV_rep2,control cells at 15 month + EV,human bronchial epithelial cells (HBEC),none (control),at 15 month,expressing empty vector (EV)
-,GSM2711845,genomic DNA from control cells at 15 month + KRASV12_rep2,control cells at 15 month + KRASV12,human bronchial epithelial cells (HBEC),none (control),at 15 month,expressing mutant KRAS (KRASV12)
-,GSM2711846,genomic DNA from CSC cells at 15 month + EV_rep2,CSC cells at 15 month + EV,human bronchial epithelial cells (HBEC),cigarette smoke condensate (CSC) over a period of 15 months,at 15 month,expressing empty vector (EV)
-,GSM2711847,genomic DNA from CSC cells at 15 month + KRASV12_rep2,CSC cells at 15 month + KRASV12,human bronchial epithelial cells (HBEC),cigarette smoke condensate (CSC) over a period of 15 months,at 15 month,expressing mutant KRAS (KRASV12)
-,GSM2711848,genomic DNA from xenograft with 15month CSC cells + KRASV12_rep1_T1,xenograft with 15month CSC cells + KRASV12,tumor xenograft with 15month CSC cells,,,expressing mutant KRAS (KRASV12)
-,GSM2711849,genomic DNA from xenograft with 15month CSC cells + KRASV12_rep1_T2,xenograft with 15month CSC cells + KRASV12,tumor xenograft with 15month CSC cells,,,expressing mutant KRAS (KRASV12)
-,GSM2711850,genomic DNA from xenograft with 15month CSC cells + KRASV12_rep1_T3,xenograft with 15month CSC cells + KRASV12,tumor xenograft with 15month CSC cells,,,expressing mutant KRAS (KRASV12)
-,GSM2711851,genomic DNA from xenograft with 15month CSC cells + KRASV12_rep2_T1,xenograft with 15month CSC cells + KRASV12,tumor xenograft with 15month CSC cells,,,expressing mutant KRAS (KRASV12)
-,GSM2711852,genomic DNA from xenograft with 15month CSC cells + KRASV12_rep2_T2,xenograft with 15month CSC cells + KRASV12,tumor xenograft with 15month CSC cells,,,expressing mutant KRAS (KRASV12)
-,GSM2711853,genomic DNA from xenograft with 15month CSC cells + KRASV12_rep2_T3,xenograft with 15month CSC cells + KRASV12,tumor xenograft with 15month CSC cells,,,expressing mutant KRAS (KRASV12)
-,GSM2711854,genomic DNA from xenograft with 15month CSC cells + KRASV12_rep2_T4,xenograft with 15month CSC cells + KRASV12,tumor xenograft with 15month CSC cells,,,expressing mutant KRAS (KRASV12)
