# TITLE: DNA Methylation Profiling Defines Clinically Relevant Biological Subsets of Non-small Cell Lung Cancer
# SUMMARY: PURPOSE: Non-small cell lung cancers (NSCLC) comprise multiple distinct biological groups with different prognoses. For example, patients with epithelial-like (EL) tumors have a better prognosis and exhibit greater sensitivity to inhibitors of the epidermal growth factor receptor (EGFR) pathway than patients with mesenchymal-like (ML) tumors. Here we test the hypothesis that EL NSCLCs can be distinguished from ML NSCLCs on the basis of global DNA methylation patterns. EXPERIMENTAL DESIGN: To determine whether phenotypic subsets of NSCLC can be defined based on their DNA methylation patterns, we combined microfluidics-based gene expression analysis and genome-wide methylation profiling. We derived robust classifiers for both gene expression and methylation in cell lines and tested these classifiers in surgically resected NSCLC tumors. We validate our approach using quantitative RT-PCR and methylation specific PCR in formalin-fixed biopsies from NSCLC patients who went on to fail front-line chemotherapy. RESULTS: We show that patterns of methylation divide NSCLCs into EL and ML subsets as defined by gene expression and that these signatures are similarly correlated in NSCLC cell lines and tumors. We identify multiple DMRs, including ERBB2 and ZEB2, whose methylation status is strongly associated with an epithelial phenotype in NSCLC cell lines, surgically resected tumors, and formalin-fixed biopsies from NSCLC patients who went on to fail front-line chemotherapy. CONCLUSIONS: Our data demonstrate that patterns of DNA methylation can divide NSCLCs into two phenotypically distinct subtypes of tumors and provide proof of principle that differences in DNA methylation can be used for predictive biomarker discovery and development.
GPL13534_Group,GPL13534_Accession,GPL13534_Title,GPL13534_Source name,GPL13534_Cell type,GPL13534_Em_status,GPL13534_Response
-,GSM883866,H820,cell line,NSCLC,E,sensitive
-,GSM883867,H1975,cell line,NSCLC,E,resistant
-,GSM883868,HCC4006,cell line,NSCLC,E,sensitive
-,GSM883869,H1355,cell line,NSCLC,M,resistant
-,GSM883870,H2110,cell line,NSCLC,E,sensitive
-,GSM883871,RERF-LC-KJ,cell line,NSCLC,E,sensitive
-,GSM883872,RERF-LC-MS,cell line,NSCLC,M,sensitive
-,GSM883873,H2172,cell line,NSCLC,M,resistant
-,GSM883874,A427,cell line,NSCLC,M,intermediate
-,GSM883875,ABC-1,cell line,NSCLC,E,resistant
-,GSM883876,Calu-3,cell line,NSCLC,E,sensitive
-,GSM883877,H2087,cell line,NSCLC,E,resistant
-,GSM883878,CHA-GO-K-1,cell line,NSCLC,E,intermediate
-,GSM883879,EBC-1,cell line,NSCLC,E,resistant
-,GSM883880,H1435,cell line,NSCLC,M,sensitive
-,GSM883881,H1568,cell line,NSCLC,E,sensitive
-,GSM883882,H1755,cell line,NSCLC,M,resistant
-,GSM883883,H1650,cell line,NSCLC,E,sensitive
-,GSM883884,H1651,cell line,NSCLC,M,intermediate
-,GSM883885,H1666,cell line,NSCLC,E,sensitive
-,GSM883886,H1838,cell line,NSCLC,E,sensitive
-,GSM883887,H2347,cell line,NSCLC,E,resistant
-,GSM883888,H2444,cell line,NSCLC,E,resistant
-,GSM883889,H2030,cell line,NSCLC,M,sensitive
-,GSM883890,H2126,cell line,NSCLC,E,sensitive
-,GSM883891,H2170,cell line,NSCLC,E,sensitive
-,GSM883892,H2228,cell line,NSCLC,M,resistant
-,GSM883893,H647,cell line,NSCLC,M,intermediate
-,GSM883894,H727,cell line,NSCLC,E,resistant
-,GSM883895,HCC1171,cell line,NSCLC,M,resistant
-,GSM883896,HCC4017,cell line,NSCLC,M,resistant
-,GSM883897,HCC515,cell line,NSCLC,E,resistant
-,GSM883898,HOP62,cell line,NSCLC,M,intermediate
-,GSM883899,HOP92,cell line,NSCLC,M,resistant
-,GSM883900,H1437,cell line,NSCLC,E,resistant
-,GSM883901,HCC15,cell line,NSCLC,M,resistant
-,GSM883902,RERF-LC-Ad1,cell line,NSCLC,E,sensitive
-,GSM883903,Calu-6,cell line,NSCLC,M,resistant
-,GSM883904,EKVX,cell line,NSCLC,E,sensitive
-,GSM883905,H2405,cell line,NSCLC,M,intermediate
-,GSM883906,H1792,cell line,NSCLC,M,intermediate
-,GSM883907,SK-MES-1,cell line,NSCLC,M,sensitive
-,GSM883908,SW1573,cell line,NSCLC,M,intermediate
-,GSM883909,H2110.1,cell line,NSCLC,E,sensitive
-,GSM883910,H1793,cell line,NSCLC,M,NA
-,GSM883911,H1373,cell line,NSCLC,E,NA
-,GSM883912,H661,cell line,NSCLC,M,intermediate
-,GSM883913,HOP18,cell line,NSCLC,E,NA
