# TITLE: NCI cDNA microarray-human 60 cell lines
# SUMMARY: We used cDNA microarrays to explore the variation in expression of approximately 8,000 unique genes among the 60 cell lines used in the National Cancer Institute's screen for anti-cancer drugs. Keywords: parallel sample
GPL1290_Group,GPL1290_Accession,GPL1290_Title,GPL1290_Source name 1,GPL1290_Source name 2
-,GSM35958,OVARIAN_OVCAR5,Cy5-OVARIAN_OVCAR5,Cy3-pool of 12 lines
-,GSM35959,OVARIAN_OVCAR8,Cy5-OVARIAN_OVCAR8,Cy3-pool of 12 lines
-,GSM35960,OVARIAN_SKOV3,Cy5-OVARIAN_SKOV3,Cy3-pool of 12 lines
-,GSM35961,PROSTATE_DU145,Cy5-PROSTATE_DU145,Cy3-pool of 12 lines
-,GSM35962,PROSTATE_PC3,Cy5-PROSTATE_PC3,Cy3-pool of 12 lines
-,GSM35963,RENAL_786_0,Cy5-RENAL_786_0,Cy3-pool of 12 lines
-,GSM35964,RENAL_A498,Cy5-RENAL_A498,Cy3-pool of 12 lines
-,GSM35965,RENAL_ACHN,Cy5-RENAL_ACHN,Cy3-pool of 12 lines
-,GSM35966,RENAL_CAKI_1,Cy5-RENAL_CAKI_1,Cy3-pool of 12 lines
-,GSM35967,RENAL_RXF_393,Cy5-RENAL_RXF_393,Cy3-pool of 12 lines
-,GSM35968,RENAL_SNC12C,Cy5-RENAL_SNC12C,Cy3-pool of 12 lines
-,GSM35969,RENAL_TK10,Cy5-RENAL_TK10,Cy3-pool of 12 lines
-,GSM35970,RENAL_UO31,Cy5-RENAL_UO31,Cy3-pool of 12 lines
-,GSM35971,UNKNOWN_ADR_RES,Cy5-UNKNOWN_ADR_RES,Cy3-pool of 12 lines
