# TITLE: Baseline NSCLC cell lines compared to a reference mix consisting of 45 NSCLC cell lines
# SUMMARY: 34 NSCLC cell lines were transcriptionally profiled against a reference mix of 45 NSCLC cell lines to look subtype specific differential gene expression
GPL7264_Group,GPL7264_Accession,GPL7264_Title,GPL7264_Source name 1,GPL7264_Source name 2,GPL7264_Cell line (Ch1),GPL7264_Tissue (Ch1),GPL7264_Reference (Ch2),GPL7264_Tissue (Ch2)
-,GSM1065584,H1651,H1651,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H1651,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065585,H838,H838,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H838,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065586,H23,H23,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H23,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065587,H810,H810,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H810,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065588,H1581,H1581,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H1581,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065589,HCC827,HCC827,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),HCC827,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065590,Calu-1,Calu-1,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),Calu-1,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065591,H2286,H2286,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H2286,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065592,H1435,H1435,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H1435,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065593,H2405,H2405,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H2405,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
