# TITLE: Death receptor O-glycosylation controls tumor-cell sensitivity to the proapoptotic ligand Apo2L/TRAIL
# SUMMARY: Apo2L/TRAIL stimulates cancer-cell death through the proapoptotic receptors DR4 and DR5, but the determinants of tumor susceptibility to this ligand are not fully defined. mRNA expression of the peptidyl O-glycosyl transferase GALNT14 correlated with Apo2L/TRAIL sensitivity in pancreatic carcinoma, non-small cell lung carcinoma and melanoma cell lines (P < 0.00009; n=83), and up to 30% of samples from various human malignancies displayed GALNT14 overexpression. RNA interference of GALNT14 reduced cellular Apo2L/TRAIL sensitivity, whereas overexpression increased responsiveness. Biochemical analysis of DR5 identified several ectodomain O-GalNAc-Gal-Sialic acid structures. Sequence comparison predicted conserved extracellular DR4 and DR5 O-glycosylation sites; progressive mutation of the DR5 sites attenuated apoptosis signaling. O-glycosylation promoted ligand-stimulated clustering of DR4 and DR5, which mediated recruitment and activation of the apoptosis-initiating protease caspase-8. These results uncover a novel link between death receptor O-glycosylation and apoptosis signaling, providing potential predictive biomarkers for Apo2L/TRAIL-based cancer therapy. Keywords: cell type comparison
GPL570_Group,GPL570_Accession,GPL570_Title,GPL570_Source name,GPL570_Characteristics
-,GSM206449,C32,"C32 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206450,CACO2,"CACO2 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206451,Calu-1,"Calu-1 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206452,Capan1,"Capan1 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206453,Capan2,"Capan2 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206454,CFPAC1,"CFPAC1 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206455,CL11,"CL11 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206456,CL34,"CL34 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206457,CL40,"CL40 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206458,COLO201,"COLO201 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206459,COLO205,"COLO205 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206460,COLO206,"COLO206 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206461,COLO320DM,"COLO320DM cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206462,COLO320HSR,"COLO320HSR cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206463,COLO678,"COLO678 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206464,Colo741,"Colo741 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206465,COLO829,"COLO829 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206466,CX1,"CX1 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206467,DLD1,"DLD-1 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206468,EKVX,"EKVX cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206469,G361,"G361 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206470,H1155,"H1155 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206471,H1299,"H1299 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206472,H1435,"H1435 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206473,H1568,"H1568 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206474,H1650,"H1650 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206475,H1651,"H1651 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206476,H1666,"H1666 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206477,H1703,"H1703 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206478,H1781,"H1781 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206479,H1793,"H1793 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206480,H1838,"H1838 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206481,H1975,"H1975 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206482,H2009,"H2009 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206483,H2030,"H2030 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206484,H2122,"H2122 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206485,H2126,"H2126 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206486,H226,"H226 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206487,H23,"H23 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206488,H2405,"H2405 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206489,H292,"H292 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206490,H322T,"H322T cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206491,H358,"H358 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206492,H441,"H441 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206493,H460,"H460 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206494,H520,"H520 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206495,H522,"H522 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206496,H596,"H596 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206497,H647,"H647 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206498,H650,"H650 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206499,H661,"H661 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206500,H838,"H838 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206501,HCT116,"HCT116 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206502,HCT15,"HCT15 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206503,HCT29,"HCT29 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206504,HCT8,"HCT8 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206505,HLF-a,"HLF-a cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206506,HOP18,"HOP_18 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206507,Hop62,"Hop_62 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206508,Hop92,"Hop_92 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206509,HPAC,"HPAC cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206510,HPAFII,"HPAFII cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206511,Hs294T,"Hs294T cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206512,Hs695T,"Hs695T cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206513,HS766T,"HS766T cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206514,HT55,"HT55 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206515,HuPT3,"HuPT3 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206516,KM12,"KM12 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206517,LoVo,"LoVo cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206518,LOXIMVI,"LOXIMVI cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206519,LS1034,"LS1034 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206520,LS180,"LS180 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206521,LXFL529,"LXFL_529 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206522,MALME3M,"MALME3M cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206523,MDA435,"MDA435 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206524,MDST8,"MDST8 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206525,MeWo,"MeWo cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206526,MIAPaCa2,"MIAPaCa2 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206527,Panc02.03,"Panc02.03 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206528,Panc0327,"Panc0327 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206529,Panc04.03,"Panc04.03 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206530,Panc05.04,"Panc05.04 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206531,Panc08.13,"Panc08.13 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206532,Panc1,"Panc1 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206533,Panc1005,"Panc1005 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206534,PATU8902,"PATU8902 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206535,PATU8988T,"PATU8988T cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206536,PL45,"PL45 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206537,PSN1,"PSN1 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206538,RKO,"RKO cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206539,RKO_AS45,"RKO_AS45 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206540,RPMI7951,"RPMI7951 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206541,SK_CO,"SK_CO_1 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206542,SK23,"SK23 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206543,SKMEL28,"SKMEL28 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206544,SK-MES-1,"SK-MES-1 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206545,SU86.86,"SU86.86 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206546,SW1116,"SW1116 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206547,SW1417,"SW1417 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206548,SW1463,"SW1463 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206549,SW1573,"SW1573 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206550,SW1990,"SW1990 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206551,SW403,"SW403 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206552,SW480,"SW480 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206553,SW620,"SW620 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206554,SW837,"SW837 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206555,SW948,"SW948 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206556,T84,"T84 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
