# TITLE: DNA copy number profiles of NSCLC tumors
# SUMMARY: Whole genome tiling path array CGH was used to measure the copy number profiles of 271 NSCLC tumors
GPL14360_Group,GPL14360_Accession,GPL14360_Title,GPL14360_Source name 1,GPL14360_Source name 2,GPL14360_Tissue (Ch1),GPL14360_Subtype (Ch1),GPL14360_Reference (Ch2)
-,GSM788716,AC_62_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788717,AC_63_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788718,AC_64_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788719,AC_65_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788720,AC_66_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788721,AC_67_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788722,AC_68_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788723,AC_69_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788724,AC_70_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788725,AC_71_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788726,AC_72_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788727,AC_73_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788728,AC_74_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788729,AC_75_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788730,AC_76_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788731,AC_77_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788732,AC_78_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788733,AC_79_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788734,AC_80_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788735,AC_81_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788736,AC_82_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788737,AC_83_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788738,AC_84_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788739,AC_85_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788740,AC_86_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788741,AC_87_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788742,AC_88_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788743,AC_89_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788744,AC_90_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788745,AC_91_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788746,AC_92_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788747,AC_93_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788748,AC_94_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788749,AC_95_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788750,AC_96_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788751,AC_97_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788752,AC_98_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788753,AC_99_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788754,AC_100_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788755,AC_101_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788756,AC_102_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788757,AC_103_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788758,AC_104_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788759,AC_105_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788760,AC_106_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788761,AC_107_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788762,AC_108_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788763,AC_109_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788764,AC_110_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788765,AC_111_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788766,AC_112_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788767,AC_113_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788768,AC_114_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788769,AC_115_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788770,AC_116_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788771,AC_117_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788772,AC_118_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788773,AC_119_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788774,AC_120_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788775,AC_121_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788776,AC_122_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788777,AC_123_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788778,AC_124_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788779,AC_125_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788780,AC_126_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788781,AC_127_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788782,AC_128_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788783,AC_129_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788784,AC_130_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788785,AC_131_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788786,AC_132_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788787,AC_133_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788788,AC_134_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788789,AC_135_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788790,AC_136_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788791,AC_137_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788792,AC_138_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788793,AC_139_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788794,AC_140_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788795,AC_141_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788796,AC_142_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788797,AC_143_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788798,AC_144_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788799,AC_145_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788800,AC_146_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788801,AC_147_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788802,AC_148_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788803,AC_149_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788804,AC_150_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788805,AC_151_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788806,AC_152_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788807,AC_153_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788808,AC_154_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788809,AC_155_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788810,AC_156_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788811,AC_157_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788812,AC_158_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788813,AC_159_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788814,AC_160_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788815,AC_161_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788816,AC_162_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788817,AC_163_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788818,AC_164_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788819,AC_165_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788820,AC_166_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788821,AC_167_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788822,AC_168_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788823,AC_169_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788824,AC_170_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788825,AC_171_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788826,AC_172_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788827,AC_173_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788828,AC_174_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788829,AC_175_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788830,AC_176_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788831,AC_177_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788832,AC_178_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788833,AC_179_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788834,SqCC_1_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788835,SqCC_2_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788836,SqCC_3_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788837,SqCC_4_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788838,SqCC_5_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788839,SqCC_6_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788840,SqCC_7_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788841,SqCC_8_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788842,SqCC_9_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788843,SqCC_10_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788844,SqCC_11_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788845,SqCC_12_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788846,SqCC_13_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788847,SqCC_14_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788848,SqCC_15_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788849,SqCC_16_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788850,SqCC_17_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788851,SqCC_18_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788852,SqCC_19_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
-,GSM788853,SqCC_20_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Squamous Cell Carcinoma,Normal male (blood DNA)
