# TITLE: Genome wide DNA methylation analysis in NSCLC
# SUMMARY: DNA methylation is an important mechanism for gene silencing in lung cancer. In this study we identified a large number of tumor specifically methylated genes in NSCLC patients by methylome profiling.
GPL11013_Group,GPL11013_Accession,GPL11013_Title,GPL11013_Source name 1,GPL11013_Source name 2,GPL11013_Tissue (Ch1),GPL11013_Sample type (Ch1),GPL11013_Antibody (Ch2),GPL11013_Antibody manufacturer (Ch2),GPL11013_Characteristics 2,GPL11013_Tissue (Ch2),GPL11013_Cell line (Ch1),GPL11013_Medip antibody (Ch2),GPL11013_Cell line (Ch2)
-,GSM603264,Normal18,Input Normal18,IP Normal18,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603265,Normal19,Input Normal19,IP Normal19,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603266,Normal2,Input Normal2,IP Normal2,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603267,Normal20,Input Normal20,IP Normal20,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603268,Normal21,Input Normal21,IP Normal21,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603269,Normal22,Input Normal22,IP Normal22,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603270,Normal23,Input Normal23,IP Normal23,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603271,Normal24,Input Normal24,IP Normal24,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603272,Normal25,Input Normal25,IP Normal25,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603273,Normal26,Input Normal26,IP Normal26,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603274,Normal27,Input Normal27,IP Normal27,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603275,Normal28,Input Normal28,IP Normal28,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603276,Normal29,Input Normal29,IP Normal29,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603277,Normal3,Input Normal3,IP Normal3,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603278,Normal30,Input Normal30,IP Normal30,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603279,Normal31,Input Normal31,IP Normal31,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603280,Normal32,Input Normal32,IP Normal32,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603281,Normal33,Input Normal33,IP Normal33,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603282,Normal34,Input Normal34,IP Normal34,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603283,Normal35,Input Normal35,IP Normal35,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603284,Normal36,Input Normal36,IP Normal36,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603285,Normal37,Input Normal37,IP Normal37,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603286,Normal38,Input Normal38,IP Normal38,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603287,Normal39,Input Normal39,IP Normal39,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603288,Normal4,Input Normal4,IP Normal4,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603289,Normal40,Input Normal40,IP Normal40,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603290,Normal41,Input Normal41,IP Normal41,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603291,Normal42,Input Normal42,IP Normal42,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603292,Normal43,Input Normal43,IP Normal43,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603293,Normal44,Input Normal44,IP Normal44,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603294,Normal45,Input Normal45,IP Normal45,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603295,Normal46,Input Normal46,IP Normal46,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603296,Normal47,Input Normal47,IP Normal47,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603297,Normal48,Input Normal48,IP Normal48,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603298,Normal49,Input Normal49,IP Normal49,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603299,Normal5,Input Normal5,IP Normal5,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603300,Normal50,Input Normal50,IP Normal50,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603301,Normal51,Input Normal51,IP Normal51,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603302,Normal52,Input Normal52,IP Normal52,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603303,Normal53,Input Normal53,IP Normal53,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603304,Normal54,Input Normal54,IP Normal54,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603305,Normal55,Input Normal55,IP Normal55,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603306,Normal56,Input Normal56,IP Normal56,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603307,Normal57,Input Normal57,IP Normal57,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603308,Normal58,Input Normal58,IP Normal58,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603309,Normal59,Input Normal59,IP Normal59,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603310,Normal6,Input Normal6,IP Normal6,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603311,Normal60,Input Normal60,IP Normal60,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603312,Normal61,Input Normal61,IP Normal61,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603313,Normal62,Input Normal62,IP Normal62,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603314,Normal63,Input Normal63,IP Normal63,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603315,Normal64,Input Normal64,IP Normal64,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603316,Normal65,Input Normal65,IP Normal65,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603317,Normal66,Input Normal66,IP Normal66,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603318,Normal67,Input Normal67,IP Normal67,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603319,Normal68,Input Normal68,IP Normal68,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603320,Normal69,Input Normal69,IP Normal69,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603321,Normal7,Input Normal7,IP Normal7,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603322,Normal70,Input Normal70,IP Normal70,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603323,Normal71,Input Normal71,IP Normal71,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603324,Normal72,Input Normal72,IP Normal72,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603325,Normal73,Input Normal73,IP Normal73,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603326,Normal74,Input Normal74,IP Normal74,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603327,Normal75,Input Normal75,IP Normal75,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603328,Normal76,Input Normal76,IP Normal76,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603329,Normal77,Input Normal77,IP Normal77,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603330,Normal78,Input Normal78,IP Normal78,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603331,Normal79,Input Normal79,IP Normal79,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603332,Normal8,Input Normal8,IP Normal8,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603333,Normal80,Input Normal80,IP Normal80,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603334,Normal81,Input Normal81,IP Normal81,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603335,Normal82,Input Normal82,IP Normal82,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603336,Normal83,Input Normal83,IP Normal83,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603337,Normal84,Input Normal84,IP Normal84,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603338,Normal85,Input Normal85,IP Normal85,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603339,Normal86,Input Normal86,IP Normal86,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603340,Normal87,Input Normal87,IP Normal87,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603341,Normal88,Input Normal88,IP Normal88,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603342,Normal89,Input Normal89,IP Normal89,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603343,Normal9,Input Normal9,IP Normal9,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603344,Normal90,Input Normal90,IP Normal90,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603345,Normal91,Input Normal91,IP Normal91,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603346,Normal92,Input Normal92,IP Normal92,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603347,Normal93,Input Normal93,IP Normal93,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603348,Normal94,Input Normal94,IP Normal94,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603349,Normal95,Input Normal95,IP Normal95,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603350,Normal96,Input Normal96,IP Normal96,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603351,Normal97,Input Normal97,IP Normal97,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603352,Normal98,Input Normal98,IP Normal98,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603353,Normal99,Input Normal99,IP Normal99,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603354,Tumor1,Input Tumor1,IP Tumor1,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603355,Tumor10,Input Tumor10,IP Tumor10,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603356,Tumor100,Input Tumor100,IP Tumor100,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603357,Tumor11,Input Tumor11,IP Tumor11,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603358,Tumor12,Input Tumor12,IP Tumor12,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603359,Tumor13,Input Tumor13,IP Tumor13,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603360,Tumor14,Input Tumor14,IP Tumor14,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603361,Tumor15,Input Tumor15,IP Tumor15,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603362,Tumor16,Input Tumor16,IP Tumor16,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603363,Tumor17,Input Tumor17,IP Tumor17,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603364,Tumor18,Input Tumor18,IP Tumor18,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603365,Tumor19,Input Tumor19,IP Tumor19,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603366,Tumor2,Input Tumor2,IP Tumor2,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603367,Tumor20,Input Tumor20,IP Tumor20,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603368,Tumor21,Input Tumor21,IP Tumor21,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603369,Tumor22,Input Tumor22,IP Tumor22,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603370,Tumor23,Input Tumor23,IP Tumor23,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603371,Tumor24,Input Tumor24,IP Tumor24,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603372,Tumor25,Input Tumor25,IP Tumor25,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603373,Tumor26,Input Tumor26,IP Tumor26,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603374,Tumor27,Input Tumor27,IP Tumor27,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603375,Tumor28,Input Tumor28,IP Tumor28,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603376,Tumor29,Input Tumor29,IP Tumor29,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603377,Tumor3,Input Tumor3,IP Tumor3,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603378,Tumor30,Input Tumor30,IP Tumor30,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603379,Tumor31,Input Tumor31,IP Tumor31,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603380,Tumor32,Input Tumor32,IP Tumor32,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603381,Tumor33,Input Tumor33,IP Tumor33,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603382,Tumor34,Input Tumor34,IP Tumor34,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603383,Tumor35,Input Tumor35,IP Tumor35,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603384,Tumor36,Input Tumor36,IP Tumor36,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603385,Tumor37,Input Tumor37,IP Tumor37,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603386,Tumor38,Input Tumor38,IP Tumor38,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603387,Tumor39,Input Tumor39,IP Tumor39,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603388,Tumor4,Input Tumor4,IP Tumor4,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603389,Tumor40,Input Tumor40,IP Tumor40,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603390,Tumor41,Input Tumor41,IP Tumor41,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603391,Tumor42,Input Tumor42,IP Tumor42,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603392,Tumor43,Input Tumor43,IP Tumor43,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603393,Tumor44,Input Tumor44,IP Tumor44,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
-,GSM603394,Tumor45,Input Tumor45,IP Tumor45,NSCLC tumor,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,NSCLC tumor,,,
