# TITLE: A gene expression signature associated with K-Ras addiction reveals regulators of EMT and tumor cell survival
# SUMMARY: K-Ras mutations occur frequently in epithelial cancers. Using shRNAs to deplete K-Ras in lung and pancreatic cancer cell lines harboring K-Ras mutations, two classes were identified—lines that do or do not require K-Ras to maintain viability. Comparing these two classes of cancer cells revealed a gene expression signature in K-Ras-dependent cells, associated with a well-differentiated epithelial phenotype, which was also seen in primary tumors. Several of these genes encode pharmacologically tractable proteins, such as Syk and Ron kinases and integrin beta6, depletion of which induces epithelial-mesenchymal transformation (EMT) and apoptosis specifically in K-Ras-dependent cells. These findings indicate that epithelial differentiation and tumor cell viability are associated, and that EMT regulators in “K-Ras-addicted” cancers represent candidate therapeutic targets.
GPL1352_Group,GPL1352_Accession,GPL1352_Title,GPL1352_Source name,GPL1352_Cell line,GPL1352_Tissue,GPL1352_K-ras dependence,GPL3720_Group,GPL3720_Accession,GPL3720_Title,GPL3720_Source name,GPL3720_Tissue,GPL3720_Cell line,GPL3718_Group,GPL3718_Accession,GPL3718_Title,GPL3718_Source name,GPL3718_Tissue,GPL3718_Cell line
-,GSM377995,LU99A,Lung:NSCLC,LU99A,Lung:NSCLC,not tested,,,,,,,,,,,,
-,GSM377996,NCI-H1155,Lung:NSCLC,NCI-H1155,Lung:NSCLC,not tested,,,,,,,,,,,,
-,GSM377997,NCI-H1573,Lung:NSCLC,NCI-H1573,Lung:NSCLC,dependent,,,,,,,,,,,,
-,GSM377998,NCI-H1734,Lung:NSCLC,NCI-H1734,Lung:NSCLC,not tested,,,,,,,,,,,,
-,GSM377999,NCI-H1792,Lung:NSCLC,NCI-H1792,Lung:NSCLC,independent,,,,,,,,,,,,
-,GSM378000,NCI-H2009,Lung:NSCLC,NCI-H2009,Lung:NSCLC,dependent,,,,,,,,,,,,
-,GSM378001,NCI-H2122,Lung:NSCLC,NCI-H2122,Lung:NSCLC,not tested,,,,,,,,,,,,
-,GSM378002,NCI-H23,Lung:NSCLC,NCI-H23,Lung:NSCLC,independent,,,,,,,,,,,,
-,GSM378003,NCI-H358,Lung:NSCLC,NCI-H358,Lung:NSCLC,dependent,,,,,,,,,,,,
-,GSM378004,NCI-H441,Lung:NSCLC,NCI-H441,Lung:NSCLC,dependent,,,,,,,,,,,,
-,GSM378005,NCI-H460,Lung:NSCLC,NCI-H460,Lung:NSCLC,independent,,,,,,,,,,,,
-,GSM378006,NCI-H727,Lung,NCI-H727,Lung,dependent,,,,,,,,,,,,
-,GSM378007,NOMO-1/ADM,Blood,NOMO-1/ADM,Blood,not tested,,,,,,,,,,,,
-,GSM378008,Panc 08.13,Pancreas,Panc 08.13,Pancreas,dependent,,,,,,,,,,,,
-,GSM378009,PA-TU-8988T,Pancreas,PA-TU-8988T,Pancreas,independent,,,,,,,,,,,,
-,GSM378010,RCM-1,Intestine,RCM-1,Intestine,not tested,,,,,,,,,,,,
-,GSM378011,SK-LU-1,Lung:NSCLC,SK-LU-1,Lung:NSCLC,independent,,,,,,,,,,,,
-,GSM378012,SNG-M,Uterus,SNG-M,Uterus,not tested,,,,,,,,,,,,
-,GSM378013,SUIT-2,Pancreas,SUIT-2,Pancreas,dependent,,,,,,,,,,,,
-,GSM378014,SW 1116,Intestine,SW 1116,Intestine,dependent,,,,,,,,,,,,
-,GSM378015,SW 1463,Intestine,SW 1463,Intestine,dependent,,,,,,,,,,,,
-,GSM378016,SW 1573,Lung:NSCLC,SW 1573,Lung:NSCLC,independent,,,,,,,,,,,,
-,GSM378017,SW 900,Lung:NSCLC,SW 900,Lung:NSCLC,not tested,,,,,,,,,,,,
-,GSM378018,SW837,Intestine,SW837,Intestine,independent,,,,,,,,,,,,
-,GSM378019,T84,Intestine,T84,Intestine,not tested,,,,,,,,,,,,
-,GSM378020,TCO-1,Thyroid,TCO-1,Thyroid,independent,,,,,,,,,,,,
