# TITLE: Gene expression profiling classifies lung squamous cell carcinomas with N1 positive lymph nodes
# SUMMARY: Using gene expression microarrays, we tested whether lung SCCs that have metastasised to loco-regional lymph nodes (N1/2m) are different to those that directly invade and involve local nodes (N1d). Using 22,323 element microarrays, a non-parametric test identified 126 genes/transcripts that discriminated between N0 (n=35) and N1/2m (n=16) tumours (Wilcoxon-Mann-Whitney U test, P<0.01). Hiearchical clustering of all 59 tumours (including 8 N1d tumours) demonstrated the N1d tumours clustered with the N0 tumours rather than the N1/2m tumours. Next, we built class prediction models from the 35 N0 tumours and 16 N1/2m tumours to predict the class of N1d tumours. All models consistently classified N1d tumours as similar to N0 tumours. This could explain some of the variable response of some N1 tumours to adjuvant chemotherapy, and suggest refinement of the TNM "N" stage nomenclature to adjust for this biological observation to ensure appropriate patients benefit from treatment. Keywords: non-small cell lung carcinoma, squamous cell, nodal metastasis, TNM staging, expression profiling
GPL3877_Group,GPL3877_Accession,GPL3877_Title,GPL3877_Source name 1,GPL3877_Source name 2,GPL3877_Characteristics 1,GPL3877_Characteristics 2
-,GSM115507,Primary Lung SCC Carcinoma Sample_R17,Universal Reference RNA,Tumour sample R17,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115508,Primary Lung SCC Carcinoma Sample_R18,Universal Reference RNA,Tumour sample R18,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115509,Primary Lung SCC Carcinoma Sample_R19,Universal Reference RNA,Tumour sample R19,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM135971,Primary Lung SCC Carcinoma Sample_S1,Universal Reference RNA,Tumour sample S1,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM135972,Primary Lung SCC Carcinoma Sample_S2,Universal Reference RNA,Tumour sample S2,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM135973,Primary Lung SCC Carcinoma Sample_S3,Universal Reference RNA,Tumour sample S3,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM135974,Primary Lung SCC Carcinoma Sample_S4,Universal Reference RNA,Tumour sample S4,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM135975,Primary Lung SCC Carcinoma Sample_S5,Universal Reference RNA,Tumour sample S5,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM135976,Primary Lung SCC Carcinoma Sample_S6,Universal Reference RNA,Tumour sample S6,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM135977,Primary Lung SCC Carcinoma Sample_S7,Universal Reference RNA,Tumour sample S7,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM135978,Primary Lung SCC Carcinoma Sample_S8,Universal Reference RNA,Tumour sample S8,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
