# TITLE: Flexible multiplatform RNA profiling at the single cell level applied to enriched cancer initiating cells
# SUMMARY: This SuperSeries is composed of the SubSeries listed below.
GPL17989_Group,GPL17989_Accession,GPL17989_Title,GPL17989_Source name,GPL17989_Cell line,GPL570_Group,GPL570_Accession,GPL570_Title,GPL570_Source name,GPL570_Cell line,GPL570_Sample type,GPL16288_Group,GPL16288_Accession,GPL16288_Title,GPL16288_Source name,GPL16288_Tissue,GPL16288_Cell type,GPL16288_Cell line
-,GSM1274516,MCF10A_PCR_1ng_R2,MCF10A cells,MCF10A,-,GSM1274492,MCF7_SC_R1,MCF7 single cell,MCF7,Amplified cDNA from single cell,-,GSM1274538,RCIC3,patient-derived non-small cell lung cancer xenograft resident cancer initiating cells,,patient-derived non-small cell lung cancer xenograft resident cancer initiating cells,
-,GSM1274517,MCF10A_PCR_1ng_R3,MCF10A cells,MCF10A,-,GSM1274493,MCF7_SC_R2,MCF7 single cell,MCF7,Amplified cDNA from single cell,-,GSM1274539,RCIC4,patient-derived non-small cell lung cancer xenograft resident cancer initiating cells,,patient-derived non-small cell lung cancer xenograft resident cancer initiating cells,
-,GSM1274518,MCF7_PCR_SC_R1,MCF7 single cell,MCF7,-,GSM1274494,MCF7_SC_R3,MCF7 single cell,MCF7,Amplified cDNA from single cell,-,GSM1274542,MCF7_RS_SC_R1,MCF7 single cell,,,MCF7
-,GSM1274519,MCF7_PCR_SC_R2,MCF7 single cell,MCF7,-,GSM1274495,MCF7_SC_R4,MCF7 single cell,MCF7,Amplified cDNA from single cell,-,GSM1274543,MCF7_RS_SC_R2,MCF7 single cell,,,MCF7
-,GSM1274520,MCF7_PCR_SC_R3,MCF7 single cell,MCF7,-,GSM1274496,MCF7_SC_R5,MCF7 single cell,MCF7,Amplified cDNA from single cell,-,GSM1274544,MCF7_RS_SC_R3,MCF7 single cell,,,MCF7
-,GSM1274521,MCF7_PCR_SC_R4,MCF7 single cell,MCF7,-,GSM1274497,MCF10A_SC_R1,MCF10A single cell,MCF10A,Amplified cDNA from single cell,-,GSM1274545,MCF7_RS_SC_R4,MCF7 single cell,,,MCF7
-,GSM1274522,MCF7_PCR_SC_R5,MCF7 single cell,MCF7,-,GSM1274498,MCF10A_SC_R2,MCF10A single cell,MCF10A,Amplified cDNA from single cell,-,GSM1274546,MCF7_RS_SC_R5,MCF7 single cell,,,MCF7
-,GSM1274523,MCF10A_PCR_SC_R1,MCF10A single cell,MCF10A,-,GSM1274499,MCF10A_SC_R3,MCF10A single cell,MCF10A,Amplified cDNA from single cell,-,GSM1274547,MCF10A_RS_SC_R1,MCF10A single cell,,,MCF10A
-,GSM1274524,MCF10A_PCR_SC_R2,MCF10A single cell,MCF10A,-,GSM1274500,MCF10A_SC_R4,MCF10A single cell,MCF10A,Amplified cDNA from single cell,-,GSM1274548,MCF10A_RS_SC_R2,MCF10A single cell,,,MCF10A
-,GSM1274525,MCF10A_PCR_SC_R3,MCF10A single cell,MCF10A,-,GSM1274501,MCF10A_SC_R5,MCF10A single cell,MCF10A,Amplified cDNA from single cell,-,GSM1274549,MCF10A_RS_SC_R3,MCF10A single cell,,,MCF10A
-,GSM1274526,MCF10A_PCR_SC_R4,MCF10A single cell,MCF10A,,,,,,,-,GSM1274550,MCF10A_RS_SC_R4,MCF10A single cell,,,MCF10A
-,GSM1274527,MCF10A_PCR_SC_R5,MCF10A single cell,MCF10A,,,,,,,-,GSM1274551,MCF10A_RS_SC_R5,MCF10A single cell,,,MCF10A
