custom_id,error,model,Q1,Q2,Q3,Q4,in_actual
samples_table_GSE52717.csv,,gpt-5-mini-2025-08-07,"No | evidence: Sample metadata lists GSM ids and sample types (MCF7, MCF10A, patient-derived NSCLC xenograft samples and isolated cancer-initiating cell populations). No fields for survival time, overall survival, progression-free survival, recurrence status, or vital status are present. | justification: The series describes cell lines and patient-derived xenograft/cancer-initiating cell samples with no clinical follow-up columns or survival/time-to-event annotations.","No | stage i evidence: Sample descriptions are xenograft and cell-line derived (patient-derived NSCLC xenograft total tumour, metastasis-associated or resident cancer initiating cells). No tumor stage (e.g., Stage I) or percentage breakdown is provided. | act evidence: No explicit annotation of adjuvant chemotherapy or treatment status is present in the metadata. | justification: There is no staging information to determine proportion of Stage I cases, and no ACT annotation; samples are xenograft/cell populations rather than annotated primary clinical cases.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival time/status data and contains no staging or adjuvant chemotherapy annotations. Therefore it does not meet the inclusion criteria.,No,False
samples_table_GSE171702.csv,,gpt-5-mini-2025-08-07,"No | evidence: Dataset columns/listing include Tissue, Gender, Histology, Stage, Age, but no columns or values for survival time or status (OS/RFS/PFS) and the summary does not report patient survival endpoints. | justification: No patient-specific survival time or event/status fields are present in the provided sample annotation or summary, so the survival criterion is not met.","No | stage i evidence: Of 32 tumor samples listed, the majority are Stage 4 (many '4' entries) with several 3A/3B/2B and only one explicit Stage 1A (GSM5231067) — far less than 50% Stage I. | act evidence: No annotation or column indicating adjuvant chemotherapy (ACT) is present in the provided metadata or summary. | justification: Requirement of >50% Stage I patients or explicit ACT annotation is not satisfied (only ~3% Stage I and no ACT field).",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival time/status data and does not have a majority of Stage I cases nor any explicit adjuvant chemotherapy annotation; therefore it does not meet the inclusion criteria.,No,False
samples_table_GSE18346.csv,,gpt-5-mini-2025-08-07,"No | evidence: Sample/metadata columns list GPL9137_Tissue, GPL9137_Patient and paired normal/tumor labels (e.g., 'normal lung','lung tumor, diagnostic NSCLC'); no columns for survival time or status (OS, PFS, RFS) are present in the provided sample table or summary. | justification: Dataset contains paired tumor/normal expression samples but does not include patient-specific survival time or event status in the provided metadata.",No | stage i evidence: No staging information provided in the sample metadata or study summary; samples are labeled only as 'diagnostic NSCLC' with patient IDs. | act evidence: No adjuvant chemotherapy (ACT) annotation or treatment fields are present in the provided metadata or study description. | justification: Neither stage (including Stage I fraction) nor explicit ACT annotations are reported in the provided data or summary.,meets survival criterion: No | meets stage or act criterion: No | justification: Fails inclusion criterion 1 (no patient-specific survival time/status). Also fails criterion 2 because there is no information that ≥50% are Stage I nor any ACT annotation. Therefore it does not meet required criteria.,No,False
samples_table_GSE26241.csv,,gpt-5-mini-2025-08-07,"No | evidence: TITLE/SUMMARY and sample metadata indicate A549 cell line experiments (e.g., 'A549 human lung cancer cells from ATCC (ATCC number CCL-185)'); no patient records or survival fields present in provided metadata. | justification: This is an in vitro cell-line microarray study (A549) with treatment/time labels; no patient-specific survival time or status (OS/RFS/PFS) are provided.","No | stage i evidence: None — samples are A549 cell line replicates, not clinical tumor stages. | act evidence: None — no adjuvant chemotherapy annotation present in the metadata; treatments listed are TGFbeta and siRNA (siControl/siPKCiz). | justification: Dataset contains only cell-line treatment conditions and biological replicates; there is no clinical staging or adjuvant chemotherapy annotation.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: lacks patient-level survival data and does not meet stage I majority or provide ACT annotation — it is an in vitro A549 cell-line study.,No,False
samples_table_GSE136932.csv,,gpt-5-mini-2025-08-07,"No | evidence: Dataset consists of in vitro experiments on A549 and H1975 cell lines with treatment (Pirfenidone/PBS) and timepoints (6h, 24h); no patient-related fields, survival time, or status are present. | justification: All samples are labeled as cell lines and experimental conditions; there is no patient or clinical follow-up data to provide OS/RFS/PFS.","No | stage i evidence: No clinical staging information provided; samples are cell lines (A549, H1975), not patient tumors. | act evidence: No adjuvant chemotherapy annotation; treatments listed are Pirfenidone or PBS in vitro. | justification: The dataset contains only cell line treatment experiments and lacks any clinical stage or adjuvant chemotherapy annotations.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both inclusion criteria: no patient-specific survival data and no clinical-stage or ACT annotation (cell line study).,No,False
samples_table_GSE184414.csv,,gpt-5-mini-2025-08-07,"No | evidence: Dataset lists GSM samples from A549 cell line (e.g., 'A549_biological rep1', 'Berberine treated A549_biological rep1') and no patient/sample clinical fields or survival times/status. | justification: This is an in vitro cell line experiment (A549) before/after berberine treatment; no patient-level survival time or status (OS/PFS/RFS) is provided.","No | stage i evidence: No clinical staging information present; all samples are labeled as 'Lung adenocarcinoma cells' or 'A549' cell line. | act evidence: No annotation or metadata indicating adjuvant chemotherapy exposure for patients; dataset describes drug treatment of cell line (berberine), not clinical ACT status. | justification: Samples are cell line replicates, not patient tumor samples, so neither >50% stage I composition nor explicit ACT annotations apply.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: lacks patient survival data and lacks clinical-stage or ACT annotations (cell line experiment only).,No,False
samples_table_GSE229302.csv,,gpt-5-mini-2025-08-07,"No | evidence: Column 'Status after 5 years' with values 'Alive'/'Dead' is present in the table. | justification: Only a binary 5-year status is provided; there is no patient-specific survival time (e.g., time-to-event or follow-up duration per patient) or explicit OS/RFS/PFS time variable, so required survival time data is missing.","No | stage i evidence: Stage entries: Tumor samples = IIB, IIIA, IB (1/3 = 33% stage I). All rows = IIB, IIIA, IB, IIB, IIIA, IB (2/6 = 33% stage I). | act evidence: No column or annotation indicating adjuvant chemotherapy (ACT) is present. | justification: Neither >50% of tumor samples nor >50% of all samples are Stage I, and there is no explicit ACT annotation.",meets survival criterion: No | meets stage or act criterion: No | justification: Dataset lacks patient-specific survival time (only binary 5-year status) and does not meet the stage I majority (≈33% stage I) nor contains ACT annotation. Therefore it does not satisfy the inclusion criteria.,No,False
samples_table_GSE115456.csv,,gpt-5-mini-2025-08-07,"No | evidence: Title and summary describe gene expression profiling of NSCLC cell lines (H1975, 2106T). Sample table lists GSM entries for cell lines and treatments (control, PMA, LPA, EGF, HB-EGF) with no columns for survival time or status. | justification: This is an in vitro cell line study; no patient-specific survival time or event/status data are provided.","No | stage i evidence: Sample metadata lists 'cell line' and 'histology' (adenocarcinoma, squamous cell carcinoma) but contains no clinical stage annotations (no Stage I/II/III/IV information). | act evidence: No fields or annotations indicate adjuvant chemotherapy; treatments refer to in vitro reagents (PMA, LPA, EGF, HB-EGF) applied to cell lines. | justification: Samples are cell lines, not patient tumor samples, so there is no information on clinical stage distribution or adjuvant chemotherapy.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset contains only cultured NSCLC cell line expression profiles with treatment conditions and lacks any patient-level clinical data (survival times/status, staging, or adjuvant chemotherapy annotation). It therefore fails both inclusion criteria.",No,False
samples_table_GSE23066.csv,,gpt-5-mini-2025-08-07,"No | evidence: Title/summary and sample table list cell types (MSC/fibroblasts), patient IDs, and origin (tumor vs normal). No columns or text indicating survival time, overall survival, progression-free survival, recurrence status, or dates. | justification: Dataset describes comparative expression profiling of stromal cells from 5 patients; no patient-specific survival time or event/status information is provided.","No | stage i evidence: No staging information is provided in the title, summary, or sample table (only 'newly diagnosed patients' and patient IDs). | act evidence: No adjuvant chemotherapy (ACT) annotation or treatment information is present in the sample metadata. | justification: There is neither stage information to determine proportion of Stage I cases nor any ACT annotation; cannot confirm >50% Stage I or explicit ACT data.","meets survival criterion: No | meets stage or act criterion: No | justification: Fails both inclusion criteria: lacks patient-specific survival time/status and lacks stage (or ACT) information. Additionally, samples are stromal (MSC/fibroblasts) rather than tumor tissue, further making it unsuitable for survival-based NSCLC meta-analysis.",No,False
samples_table_GSE136933.csv,,gpt-5-mini-2025-08-07,"No | evidence: Title and summary describe in vitro experiments on A549 and H1975 cell lines; sample table shows GSM entries with 'Cell line' and treatment/time (e.g., A549, Pirfenidone, 6h). No patient IDs, survival times, or status fields present. | justification: Dataset is a cell line transcriptome experiment (in vitro); no patient-level clinical data such as overall survival, progression-free survival, or status are provided.","No | stage i evidence: No clinical staging information or patient demographics are present in the summary or sample metadata; all samples are labeled as cell lines (A549, H1975). | act evidence: No annotation or mention of adjuvant chemotherapy (ACT) in the summary or sample metadata. | justification: Because the dataset contains only cell line experiments and lacks any patient records, there is no majority Stage I composition nor any ACT annotation.","meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: no patient-specific survival time/status and no Stage I patient composition or ACT annotation. Data are from cell lines, not clinical patient samples.",No,False
samples_table_GSE32989.csv,,gpt-5-mini-2025-08-07,"No | evidence: Provided table lists cell line identifiers, histology, age, race, gender (e.g., 'GPL13376_Cell line,HCC827,...Age,Race,Gender') with no columns for survival time or status (OS/PFS/RFS). | justification: Dataset contains expression data from NSCLC cell lines and metadata (cell line name, histology, age, sex), not patient-level clinical follow-up or survival status/time.",No | stage i evidence: No column or entries indicating tumor stage (I/II/III/IV) are present in the metadata. | act evidence: No treatment or adjuvant chemotherapy annotation appears in the provided metadata. | justification: Samples are tumor cell lines (and immortalized normal lines) rather than patient tumor samples; therefore no stage composition or ACT annotation is available.,"meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-level survival time/status and contains cell lines rather than clinical samples with staging or ACT annotations, so it fails both inclusion criteria.",No,False
samples_table_GSE49644.csv,,gpt-5-mini-2025-08-07,"No | evidence: Dataset is an experiment on NSCLC cell lines (A549, HCC827, NCI-H358) with sample metadata listing cell line and EMT status; no fields for patient survival time or status are present. | justification: This is an in vitro cell line study; no patient-level clinical data (OS/RFS/PFS or status) are provided.","No | stage i evidence: Not applicable—samples are cell lines, not clinical tumor specimens with staging information. | act evidence: No adjuvant chemotherapy annotation present; metadata only lists cell line and EMT condition. | justification: There is no patient staging or treatment annotation because the dataset comprises experimentally treated cell lines.","meets survival criterion: No | meets stage or act criterion: No | justification: Fails inclusion criterion 1 (no patient survival time/status) and criterion 2 (no stage I composition or ACT annotation) because the dataset is an in vitro cell line EMT experiment, not patient clinical data.",No,False
samples_table_GSE222124.csv,,gpt-5-mini-2025-08-07,"No | evidence: Title and summary describe cell line experiments; sample table lists cell lines (Jurkat, THP1, KHYG-1) and treatment time points. No patient identifiers, survival times, or status fields are present. | justification: This is an in vitro cell line dataset without any patient-level clinical data (no OS, RFS, PFS time or event/status information).","No | stage i evidence: No clinical staging information provided; samples are cell lines/ peripheral blood, not patient tumor stages. | act evidence: No annotations for adjuvant chemotherapy or treatment status in sample metadata; only in vitro agent (Glycodelin/none) and time points are listed. | justification: Dataset contains no patient samples or clinical annotations indicating stage I proportion or adjuvant chemotherapy exposure.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails required criterion 1 (no patient survival time/status) and criterion 2 (no patient stage or ACT annotation) because this is an in vitro cell line study.,No,False
samples_table_GSE77209.csv,,gpt-5-mini-2025-08-07,"No | evidence: Dataset summary and sample table describe cell lines (H1299, H1355) and mouse xenografts; columns shown are Treatment, Histology, Age, Gender, etc. No columns for survival time or status (OS/PFS/RFS). | justification: This is a preclinical dataset of cell line and xenograft samples with experimental treatments; there is no patient-level survival time or event/status information provided.","No | stage i evidence: No stage field is present in the sample metadata (only 'Histology' is listed). | act evidence: The 'Treatment' column lists cycles of paclitaxel+carboplatin applied to cell lines/xenografts (e.g., '5 cycles of paclitaxel+carboplatin'), which are experimental treatments, not patient adjuvant chemotherapy annotations. | justification: Metadata reflect in vitro/in vivo experimental dosing to generate resistant models rather than clinical annotations of adjuvant chemotherapy or tumor stage; therefore neither >50% stage I composition nor explicit patient ACT annotation is present.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset is preclinical (cell lines and xenografts) without patient survival times/status and without clinical stage or true adjuvant chemotherapy annotations; it does not meet the inclusion criteria.,No,False
samples_table_GSE197109.csv,,gpt-5-mini-2025-08-07,"No | evidence: Dataset lists 15 NSCLC cell lines (e.g., A549, Calu1, H1650) with columns like 'Cell line', 'Cell type'; no patient IDs, survival time, or status fields present. | justification: This is an in vitro cell line transcriptome dataset, not clinical patient data; no patient-specific survival time or event/status annotations are provided.",No | stage i evidence: No clinical staging information is present; only cell line names and 'NSCLC' cell type are listed. | act evidence: No annotations for adjuvant chemotherapy (ACT) or treatment status are present. | justification: Dataset contains only cell line identifiers and lacks any patient clinical variables such as stage or treatment annotations.,"meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: there is no patient-level survival data, and no clinical information indicating >50% Stage I patients or explicit ACT annotation. The samples are cell lines, not clinical patient samples.",No,False
samples_table_GSE175601.csv,,gpt-5-mini-2025-08-07,"No | evidence: Sample metadata lists fields: GPL21185_Group, Accession, Title, Source name, Tissue, Disease state with entries like 'Non-small cell lung cancer with/without bone metastasis'. No columns for survival time, overall survival, progression-free survival, recurrence-free survival, or vital status are present. | justification: The provided sample table contains only tissue and disease state labels; there is no patient-specific survival time or status reported.","No | stage i evidence: Disease state values are 'with bone metastasis' and 'without bone metastasis'. No staging (I/II/III/IV) information is provided. Three samples are explicitly bone-metastatic (implying advanced disease), so the cohort cannot be confirmed as >=50% stage I. | act evidence: No annotation or column indicating adjuvant chemotherapy (ACT) is present in the metadata. | justification: Staging information is absent and presence of bone metastases in multiple samples indicates at least some advanced-stage patients; there is no explicit ACT annotation. Therefore the dataset does not meet the Stage I majority or ACT annotation criteria.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks any patient-level survival time or status data, and contains no staging or adjuvant chemotherapy annotations. Additionally, several samples are labeled as having bone metastasis (advanced disease), so it cannot be considered to have a majority of Stage I patients.",No,False
samples_table_GSE209983.csv,,gpt-5-mini-2025-08-07,"No | evidence: Dataset consists of mouse xenograft samples (GSM6412077–GSM6412080) labeled as HSAEC_4T53RD_tumor_EpCAMhigh/PDPN- and EpCAMlow/PDPN+; no patient survival time or status fields present in title/summary. | justification: Samples are from engineered human NSCLC cell line xenografts in mice, not clinical patient samples; no OS/RFS/PFS or survival status provided.",No | stage i evidence: No clinical staging information present; sample metadata indicates 'Mouse xenograft' and tumor cell line names only. | act evidence: No annotation or mention of adjuvant chemotherapy in title or summary. | justification: The dataset contains preclinical xenograft samples without any patient-level clinical annotations such as stage or treatment.,meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required inclusion criteria: lacks patient-specific survival time/status and lacks clinical stage or ACT annotations. It is a preclinical mouse xenograft gene expression dataset.,No,False
samples_table_GSE203510.csv,,gpt-5-mini-2025-08-07,"No | evidence: Metadata columns shown: GPL19162_Group,GPL19162_Accession,GPL19162_Title,GPL19162_Source name,GPL19162_Gender,GPL19162_Msc status,GPL19162_Disease state. No fields for survival time or status (OS, PFS, RFS) are present in the provided table or study summary. | justification: Study is a platform comparison of circulating microRNA with n=10 NSCLC patients and 10 healthy controls; no patient-specific survival times or status are reported in the description or sample metadata.",No | stage i evidence: No stage or TNM information is provided in the metadata or summary; only 'Disease state' (NSCLC vs healthy) is listed. | act evidence: No annotation of adjuvant chemotherapy (ACT) or treatment exposure is present in the metadata or study summary. | justification: The dataset contains clinical labels limited to disease state and MSC status only; there is no information on tumor stage or adjuvant chemotherapy.,"meets survival criterion: No | meets stage or act criterion: No | justification: Fails both inclusion criteria: lacks patient-specific survival time/status, and lacks stage information or ACT annotation (only 10 NSCLC plasma samples with disease label). Therefore it does not meet required criteria.",No,False
samples_table_GSE33072.csv,,gpt-5-mini-2025-08-07,"Yes | evidence: Columns/fields include 'progression-free survival time (months)', 'Progression-free survival status', and progression/date fields (e.g., 'Date of progression', start/end dates, pfsm months). Many sample rows list explicit PFS times and status. | justification: The dataset contains patient-level progression-free survival times and progression status for multiple samples (explicit PFS time in months and PFS status), satisfying the survival-data requirement.","No | stage i evidence: There is a 'Stage_at_diagnosis' column with many entries showing advanced disease (e.g., IV, IIIB, IIIA, IIB); only occasional early-stage entries (e.g., IB, IIB) are present but not the majority. | act evidence: No explicit adjuvant chemotherapy (ACT) annotation or an 'adjuvant' field is present; 'Treatment' lists trial drugs (erlotinib, sorafenib, etc.) for advanced/refractory therapy rather than adjuvant therapy. | justification: Cohort is from the BATTLE chemorefractory trial with predominantly advanced-stage patients and no explicit adjuvant chemotherapy annotation; therefore it does not meet the >50% Stage I or ACT requirement.","meets survival criterion: Yes | meets stage or act criterion: No | justification: Although patient-level PFS times and status are provided (meets survival criterion), the cohort consists mainly of advanced-stage (IV/IIIB) chemorefractory patients and lacks explicit adjuvant chemotherapy annotation, so it fails the stage I/ACT inclusion criterion.",No,False
samples_table_GSE47056.csv,,gpt-5-mini-2025-08-07,No | evidence: Title and summary describe miRNA expression in A549 cell sub-lines (high vs low invasive). The sample table lists GSM IDs with 'A549' cell line labels and no columns for survival time or status. | justification: This is an in vitro cell-line study (A549 sublines); there are no patient-level records or survival endpoints (OS/RFS/PFS) provided.,"No | stage i evidence: Sample annotations are cell-line descriptors ('A549_non-invasive', 'A549_invasive'); no tumor stage information or patient counts are provided. | act evidence: There is no annotation indicating adjuvant chemotherapy (ACT) status for any samples. | justification: Because the dataset comprises laboratory cell-line samples rather than clinical patient samples, it cannot meet the >50% Stage I requirement or provide ACT annotations.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset is an in vitro miRNA profiling of A549 cell sublines with no patient-level clinical data (no survival times/status) and no stage or adjuvant chemotherapy annotations; therefore it does not meet either inclusion criterion.,No,False
samples_table_GSE69630.csv,,gpt-5-mini-2025-08-07,"No | evidence: Metadata lists only cell line samples (A549, Nuli-1) with experimental conditions (control, knockdown, overexpression). No patient/sample clinical fields or survival time/status (OS, PFS, RFS) are present. | justification: Dataset contains in vitro cell line experiments and lacks any patient-level clinical annotations, including survival time or status.","No | stage i evidence: No patient samples or TNM/stage annotations are provided in the sample list; all entries are cell lines. | act evidence: No annotation of adjuvant chemotherapy or treatment status present in metadata. | justification: Because the dataset comprises only cell line experiments (A549 and Nuli-1) with experimental manipulations, there is no information on disease stage or adjuvant chemotherapy for patients.","meets survival criterion: No | meets stage or act criterion: No | justification: Fails both inclusion criteria: no patient-specific survival time/status data, and no patient-stage composition or ACT annotations. The samples are non-clinical (cell lines) and thus not eligible.",No,False
samples_table_GSE21933.csv,,gpt-5-mini-2025-08-07,"No | evidence: Provided sample metadata columns: Tissue, Histology, Stage, Sex, Age. No columns or entries for overall survival, progression-free survival, recurrence-free survival, survival time, or vital status. | justification: The dataset metadata lists clinical stage and demographics but contains no patient-specific survival time or status fields.","No | stage i evidence: Tumor sample stages (21 patients): IA:1 (Patient152), IB:6 (Patients 26,75,85,100,114,143) => 7/21 = 33% Stage I. | act evidence: No column or annotations for adjuvant chemotherapy (ACT) in the provided metadata. | justification: Fewer than 50% of patients are Stage I (33%) and there is no explicit ACT annotation.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks any survival time/status data required by inclusion criterion 1. It also fails criterion 2 because only 33% are Stage I (below the 50% threshold) and there is no adjuvant chemotherapy annotation.,No,False
